rank,symbol,blend_score,in_top10,in_buffer20
1,SBIN,0.9038876889848813,True,True
2,MFSL,0.888768898488121,True,True
3,SBC,0.8790496760259179,True,True
4,EICHERMOT,0.8639308855291576,True,True
5,TVSMOTOR,0.8628509719222462,True,True
6,TORNTPHARM,0.8563714902807775,True,True
7,TITAN,0.8563714902807775,True,True
8,SBILIFE,0.8563714902807775,True,True
9,FEDERALBNK,0.8455723542116631,False,True
10,CUMMINSIND,0.8434125269978401,False,True
11,MARICO,0.8401727861771058,False,True
12,POLYCAB,0.8315334773218142,False,True
13,BRITANNIA,0.8293736501079914,False,True
14,IOC,0.8293736501079914,False,True
15,APLAPOLLO,0.826133909287257,False,True
16,HEROMOTOCO,0.8239740820734341,True,True
17,ANANDRATHI,0.8228941684665227,False,True
18,CANBK,0.8228941684665227,False,True
19,MARUTI,0.8142548596112311,True,True
20,BEL,0.8077753779697624,False,True
21,ANURAS,0.806695464362851,False,False
22,ASHOKLEY,0.8023758099352052,False,False
23,AXISBANK,0.7980561555075594,False,False
24,NYKAA,0.7969762419006479,False,False
25,BANKBARODA,0.7948164146868251,False,False
26,AUBANK,0.7937365010799136,False,False
27,FORTIS,0.7915766738660908,False,False
28,NESTLEIND,0.7894168466522677,False,False
29,APOLLOHOSP,0.7883369330453563,False,False
30,BAJAJ-AUTO,0.785097192224622,False,False
