SYMBOL,ISIN
20MICRONS,INE144J01027
3IINFOTECH,INE748C01020
3MINDIA,INE470A01017
A2ZMES,INE619I01012
AANJANEYA,INE928K01013
AARTIDRUGS,INE767A01016
AARTIIND,INE769A01020
AARVEEDEN,INE273D01019
ABAN,INE421A01028
ABB,INE117A01022
ABBOTINDIA,INE358A01014
ABCIL,INE605B01016
ABGSHIP,INE067H01016
ABHISHEK,INE004I01017
ABIRLANUVO,INE069A01017
ACC,INE012A01025
ACE,INE731H01025
ACKRUTI,INE703H01016
ACROPETAL,INE055L01013
ADANIENT,INE423A01024
ADANIPOWER,INE814H01029
ADFFOODS,INE982B01027
ADHUNIK,INE400H01019
ADORWELD,INE045A01017
ADSL,INE102I01027
ADVANTA,INE517H01028
AEGISCHEM,INE208C01025
AFL,INE020G01017
AFTEK,INE796A01023
AGCNET,INE676A01019
AGRE,INE360L01017
AGRODUTCH,INE135B01014
AHLEAST,INE926K01017
AHLUCONT,INE758C01029
AHLWEST,INE915K01010
AHMEDFORGE,INE425A01011
AIAENG,INE212H01026
AJANTPHARM,INE031B01049
AJMERA,INE298G01035
AKSHOPTFBR,INE523B01011
AKZOINDIA,INE133A01011
ALBK,INE428A01015
ALCHEM,INE964B01033
ALEMBICLTD,INE426A01027
ALFALAVAL,INE427A01017
ALKALI,INE773I01017
ALKYLAMINE,INE150B01039
ALLCARGO,INE418H01029
ALLSEC,INE835G01018
ALMONDZ,INE326B01035
ALOKTEXT,INE270A01011
ALPA,INE385I01010
ALPHAGEO,INE137C01018
ALPSINDUS,INE093B01015
AMAR,INE787G01011
AMARAJABAT,INE885A01032
AMARJOTHI,INE484D01012
AMBIKCO,INE540G01014
AMBUJACEM,INE079A01024
AMDIND,INE005I01014
AMLSTEEL,INE577F01018
AMRUTANJAN,INE098F01031
AMTEKAUTO,INE130C01021
AMTEKINDIA,INE068D01021
ANANTRAJ,INE242C01024
ANDHRABANK,INE434A01013
ANDHRACEMT,INE666E01012
ANDHRSUGAR,INE715B01021
ANGIND,INE017D01010
ANIKINDS,INE087B01017
ANKURDRUGS,INE238D01012
ANSALAPI,INE436A01026
ANSALHSG,INE880B01015
ANTGRAPHIC,INE414B01021
APARINDS,INE372A01015
APCOTEXIND,INE116A01032
APIL,INE878A01011
APOLLOHOSP,INE437A01024
APOLLOTYRE,INE438A01022
APPAPER,INE435A01028
APTECHT,INE266F01018
AQUA,INE544K01026
ARCHIDPLY,INE877I01016
ARCHIES,INE731A01020
AREVAT&D,INE200A01026
ARIES,INE298I01015
ARIHANT,INE413D01011
ARL,INE211C01029
AROGRANITE,INE210C01013
ARROWTEX,INE933J01015
ARSHIYA,INE968D01022
ARSSINFRA,INE267I01010
ARVIND,INE034A01011
ASAHIINDIA,INE439A01020
ASAL,INE900C01027
ASHAPURMIN,INE348A01023
ASHCONIUL,INE714F01033
ASHIMASYN,INE440A01010
ASHOKA,INE442H01029
ASHOKLEY,INE208A01029
ASIANELEC,INE441A01026
ASIANHOTNR,INE363A01022
ASIANPAINT,INE021A01026
ASIANTILES,INE022I01019
ASSAMCO,INE442A01024
ASTEC,INE563J01010
ASTERSILI,INE900K01012
ASTRAL,INE006I01046
ASTRAMICRO,INE386C01029
ASTRAZEN,INE203A01020
ATFL,INE209A01019
ATLANTA,INE285H01022
ATLASCYCLE,INE446A01025
ATNINTER,INE803A01027
ATUL,INE100A01010
AURIONPRO,INE132H01018
AUROPHARMA,INE406A01037
AUSOMENT,INE218C01016
AUSTRAL,INE455J01027
AUTOAXLES,INE449A01011
AUTOIND,INE718H01014
AUTOLITIND,INE448A01013
AVANTI,INE871C01012
AVENTIS,INE058A01010
AVTNPL,INE488D01021
AXIS-IT&T,INE555B01013
AXISBANK,INE238A01034
BAGFILMS,INE116D01028
BAJAJ-AUTO,INE917I01010
BAJAJCORP,INE933K01021
BAJAJELEC,INE193E01025
BAJAJFINSV,INE918I01026
BAJAJHIND,INE306A01021
BAJAJHLDNG,INE118A01012
BAJFINANCE,INE296A01032
BALAJITELE,INE794B01026
BALAMINES,INE050E01027
BALKRISIND,INE787D01026
BALLARPUR,INE294A01037
BALMLAWRIE,INE164A01016
BALPHARMA,INE083D01012
BALRAMCHIN,INE119A01028
BANARISUG,INE459A01010
BANCOINDIA,INE213C01025
BANG,INE863I01016
BANKBARODA,INE028A01039
BANKINDIA,INE084A01016
BANSWRAS,INE629D01020
BARTRONICS,INE855F01034
BASF,INE373A01013
BASML,INE186H01022
BATAINDIA,INE176A01028
BATLIBOI,INE177C01022
BAYERCROP,INE462A01022
BBL,INE464A01036
BBTC,INE050A01025
BEARDSELL,INE520H01022
BECREL,INE287A01015
BEDMUTHA,INE844K01012
BEL,INE263A01024
BELLCERATL,INE403A01026
BEML,INE258A01024
BEPL,INE922A01025
BERGEPAINT,INE463A01038
BFINVEST,INE878K01010
BFUTILITIE,INE243D01012
BGRENERGY,INE661I01014
BHAGWATIHO,INE797H01018
BHAGYNAGAR,INE458B01028
BHARATFORG,INE465A01025
BHARATGEAR,INE561C01019
BHARATRAS,INE838B01021
BHARTIARTL,INE397D01024
BHARTISHIP,INE673G01013
BHEL,INE257A01026
BHUSANSTL,INE824B01021
BIL,INE828A01016
BILENERGY,INE607L01029
BILPOWER,INE952D01018
BIMETAL,INE469A01019
BINANIIND,INE071A01013
BINDALAGRO,INE143A01010
BIOCON,INE376G01013
BIRLACORPN,INE340A01012
BIRLACOT,INE655I01024
BIRLAERIC,INE800A01015
BIRLAMONEY,INE865C01022
BIRLAPOWER,INE224B01024
BLBLIMITED,INE791A01024
BLISSGVS,INE416D01022
BLKASHYAP,INE350H01032
BLUECHIP,INE657B01025
BLUEDART,INE233B01017
BLUESTARCO,INE472A01039
BLUESTINFO,INE504B01011
BOC,INE473A01011
BOMDYEING,INE032A01023
BOSCHLTD,INE323A01026
BPCL,INE029A01011
BPL,INE110A01019
BRANDHOUSE,INE317J01011
BRFL,INE589G01011
BRIGADE,INE791I01019
BRITANNIA,INE216A01030
BROADCAST,INE698H01018
BSELINFRA,INE395A01016
BSL,INE594B01012
BSTRANSCOM,INE043K01011
BURNPUR,INE817H01022
BVCL,INE139I01011
CADILAHC,INE010B01027
CAIRN,INE910H01017
CALSOFT,INE526B01014
CAMLIN,INE760A01029
CANBK,INE476A01022
CANDC,INE874H01015
CANFINHOME,INE477A01020
CANTABIL,INE068L01024
CARBORUNIV,INE120A01034
CAROLINFO,INE198A01014
CASTROL,INE172A01019
CCCL,INE429I01024
CCL,INE421D01022
CEATLTD,INE482A01020
CEBBCO,INE209L01016
CELEBRITY,INE185H01016
CELESTIAL,INE221I01017
CENTENKA,INE485A01015
CENTEXT,INE281A01026
CENTRALBK,INE483A01010
CENTUM,INE320B01020
CENTURYPLY,INE348B01021
CENTURYTEX,INE055A01016
CERA,INE739E01017
CESC,INE486A01021
CHAMBLFERT,INE085A01013
CHEMFALKAL,INE479E01028
CHEMPLAST,INE488A01027
CHENNPETRO,INE178A01016
CHESLINTEX,INE217C01018
CHOLAFIN,INE121A01024
CILNOVA,INE672K01017
CINEMAX,INE704H01014
CINEVISTA,INE039B01026
CIPLA,INE059A01026
CLASSIC,INE987C01024
CLNINDIA,INE492A01029
CMAHENDRA,INE378J01013
CMC,INE314A01017
COALINDIA,INE522F01014
COLPAL,INE259A01022
COMPUAGE,INE070C01029
CONCOR,INE111A01025
CONSOFINVT,INE025A01027
CORAL-HUB,INE108J01030
CORDSCABLE,INE792I01017
COREPROTEC,INE247G01024
COROMANDEL,INE169A01031
CORPBANK,INE112A01023
COSMOFILMS,INE757A01017
COX&KINGS,INE008I01026
CPIL,INE521J01018
CREATIVEYE,INE230B01021
CRESTANI,INE774A01012
CREWBOS,INE514G01019
CRISIL,INE007A01025
CROMPGREAV,INE067A01029
CRONIMET,INE592I01029
CTE,INE627H01017
CUB,INE491A01021
CUBEXTUB,INE144D01012
CUMMINSIND,INE298A01020
CURATECH,INE117B01012
