SYMBOL,latest_ISIN,reason
ABGSEC,INF209KC1134,fund/ETF (INF)
ABSL10BANK,INF209KC1670,fund/ETF (INF)
ABSLBANETF,INF209KB17D5,fund/ETF (INF)
ABSLLIQUID,INF209KB18T9,fund/ETF (INF)
ABSLMSCIN,INF209KC1662,fund/ETF (INF)
ABSLNN50ET,INF209KB16D7,fund/ETF (INF)
ABSLPSE,INF209KB19Z4,fund/ETF (INF)
ALPHA,INF174KA1IA5,fund/ETF (INF)
ALPHAETF,INF769K01KU7,fund/ETF (INF)
ALPL30IETF,INF109KC17V7,fund/ETF (INF)
AONEGOLD,INF1J2R01114,fund/ETF (INF)
AONELIQUID,INF1J2R01056,fund/ETF (INF)
AONENIFTY,INF1J2R01064,fund/ETF (INF)
AONESILVER,INF1J2R01171,fund/ETF (INF)
AONETMMQ50,INF1J2R01148,fund/ETF (INF)
AONETOTAL,INF1J2R01015,fund/ETF (INF)
AUTOBEES,INF204KC1337,fund/ETF (INF)
AUTOIETF,INF109KC10V2,fund/ETF (INF)
AXISBNKETF,INF846K01X63,fund/ETF (INF)
AXISBPSETF,INF846K01Z04,fund/ETF (INF)
AXISCETF,INF846K016C7,fund/ETF (INF)
AXISGOLD,INF846K01W80,fund/ETF (INF)
AXISHCETF,INF846K01Z12,fund/ETF (INF)
AXISILVER,INF846K011K1,fund/ETF (INF)
AXISNIFTY,INF846K01W98,fund/ETF (INF)
AXISTECETF,INF846K01Y96,fund/ETF (INF)
AXISVALUE,INF846KA1119,fund/ETF (INF)
AXSENSEX,INF846K010Q0,fund/ETF (INF)
BANK10ADD,INF740KA1YH2,fund/ETF (INF)
BANKADD,INF740KA1RX3,fund/ETF (INF)
BANKBEES,INF204KB15I9,fund/ETF (INF)
BANKBETA,INF789F1AUV1,fund/ETF (INF)
BANKBETF,INF0QA701714,fund/ETF (INF)
BANKETF,INF769K01KR3,fund/ETF (INF)
BANKETFADD,INF740KA1RX3,fund/ETF (INF)
BANKIETF,INF109KC15I8,fund/ETF (INF)
BANKNIFTY1,INF174KA1ZB7,fund/ETF (INF)
BANKPSU,INF769K01LZ4,fund/ETF (INF)
BBETF0432,INF754K01OB1,fund/ETF (INF)
BBNPNBETF,INF251K01TL6,fund/ETF (INF)
BBNPPGOLD,INF251K01SU9,fund/ETF (INF)
BFSI,INF769K01HI8,fund/ETF (INF)
BHARATIWIN,INF109KB15Y7,fund/ETF (INF)
BSE500IETF,INF109KC1V59,fund/ETF (INF)
BSLGOLDETF,INF209KB18D3,fund/ETF (INF)
BSLNIFTY,INF209KB19D1,fund/ETF (INF)
BSLSENETFG,INF209KB10E8,fund/ETF (INF)
CASHIETF,INF109K1A021,fund/ETF (INF)
CHEMICAL,INF174KA1XV0,fund/ETF (INF)
CHOICEGOLD,INF2KCX01012,fund/ETF (INF)
COMMOIETF,INF109KC19O8,fund/ETF (INF)
CONS,INF174KA1ZF8,fund/ETF (INF)
CONSUMBEES,INF204KA1LD7,fund/ETF (INF)
CONSUMER,INF769K01NS5,fund/ETF (INF)
CONSUMIETF,INF109KC1V42,fund/ETF (INF)
CPSEETF,INF457M01133,fund/ETF (INF)
CRMFGETF,INF760K01BR1,fund/ETF (INF)
DEFENCE,INF769K01QC2,fund/ETF (INF)
DIVIDEND,INF769K01PY8,fund/ETF (INF)
DIVOPPBEES,INF204KA1MS3,fund/ETF (INF)
DSPBANKETF,INF740KA1RX3,fund/ETF (INF)
DSPGOLDETF,INF740KA1SW3,fund/ETF (INF)
DSPITETF,INF740KA1SX1,fund/ETF (INF)
DSPN50ETF,INF740KA1CL0,fund/ETF (INF)
DSPNEWETF,INF740KA1QK2,fund/ETF (INF)
DSPPSBKETF,INF740KA1SY9,fund/ETF (INF)
DSPPVBKETF,INF740KA1TA7,fund/ETF (INF)
DSPQ50ETF,INF740KA1QL0,fund/ETF (INF)
DSPSENXETF,INF740KA1SZ6,fund/ETF (INF)
DSPSILVETF,INF740KA1RE3,fund/ETF (INF)
EBANK,INF754K01EL1,fund/ETF (INF)
EBANKNIFTY,INF754K01TE4,fund/ETF (INF)
EBBETF0423,INF754K01KN4,fund/ETF (INF)
EBBETF0425,INF754K01LD3,fund/ETF (INF)
EBBETF0430,INF754K01KO2,fund/ETF (INF)
EBBETF0431,INF754K01LE1,fund/ETF (INF)
EBBETF0433,INF754K01QX0,fund/ETF (INF)
ECAPINSURE,INF754K01TX4,fund/ETF (INF)
EGOLD,INF754K01SE6,fund/ETF (INF)
ELIQUID,INF754K01VW2,fund/ETF (INF)
ELM250,INF754K01VV4,fund/ETF (INF)
EMULTIMQ,INF754K01TF1,fund/ETF (INF)
ENERGY,INF769K01PR2,fund/ETF (INF)
ENEXT50,INF754K01XF3,fund/ETF (INF)
ENIFTY,INF754K01VX0,fund/ETF (INF)
EQ30,INF754K01EM9,fund/ETF (INF)
EQUAL200,INF769K01OA1,fund/ETF (INF)
EQUAL50,INF769K01OO2,fund/ETF (INF)
EQUAL50ADD,INF740KA1QK2,fund/ETF (INF)
ESENSEX,INF754K01VY8,fund/ETF (INF)
ESG,INF769K01GS9,fund/ETF (INF)
ESILVER,INF754K01SF3,fund/ETF (INF)
EVIETF,INF109K1A153,fund/ETF (INF)
EVINDIA,INF769K01LQ3,fund/ETF (INF)
FELDVR,IN9623B01058,DVR/special (IN9)
FINIETF,INF109KC17L8,fund/ETF (INF)
FLEXIADD,INF740KA1WU9,fund/ETF (INF)
FMCGADD,INF740KA1ZA4,fund/ETF (INF)
FMCGIETF,INF109KC19V3,fund/ETF (INF)
FRLDVR,IN9623B01058,DVR/special (IN9)
FTCPOF5YDV,INF090I01080,fund/ETF (INF)
FTCPOF5YGR,INF090I01072,fund/ETF (INF)
FTCSF5YDIV,INF090I01049,fund/ETF (INF)
FTCSF5YGRO,INF090I01031,fund/ETF (INF)
G5,INF247L01AK4,fund/ETF (INF)
GILT10BETA,INF789F1AZF3,fund/ETF (INF)
GILT5BETA,INF789F1AZE6,fund/ETF (INF)
GILT5YBEES,INF204KC1030,fund/ETF (INF)
GOLD1,INF174KA1HJ8,fund/ETF (INF)
