symbol,isin,status,cap_bucket,first_seen,last_seen,reason_selected
BLUESTARCO,INE472A01039,active,large,2025-04-01,2025-04-01,stratified_large_active
COFORGE,INE591G01025,active,large,2021-07-01,2026-04-01,stratified_large_active
MOTHERSON,INE775A01035,active,large,2023-04-03,2025-10-01,stratified_large_active
RBLBANK,INE976G01028,active,large,2017-04-03,2025-10-01,stratified_large_active
YESBANK,INE528G01035,active,large,2011-07-01,2024-07-01,forced_failure
IBULHSGFIN,INE148I01020,delisted,large,2015-04-01,2024-01-01,stratified_large_delisted
LTIM,INE214T01019,delisted,large,2023-04-03,2025-01-01,stratified_large_delisted
SWANENERGY,INE665A01038,delisted,large,2017-01-02,2025-01-01,stratified_large_delisted
TATAMOTORS,INE155A01022,delisted,large,2011-07-01,2025-10-01,stratified_large_delisted
BANKBARODA,INE028A01039,active,mid,2011-10-03,2026-04-01,stratified_mid_active
ENGINERSIN,INE510A01028,active,mid,2017-01-02,2017-01-02,stratified_mid_active
HBLENGINE,INE292B01021,active,mid,2026-01-01,2026-01-01,stratified_mid_active
PIDILITIND,INE318A01026,active,mid,2020-04-01,2021-01-01,stratified_mid_active
DHFL,INE202B01012,delisted,mid,2016-07-01,2019-10-01,forced_failure
HDIL,INE191I01012,delisted,mid,2011-07-01,2018-01-01,forced_failure
JPASSOCIAT,INE455F01025,delisted,mid,2011-07-01,2018-07-02,forced_failure
MINDTREE,INE018I01017,delisted,mid,2016-04-01,2022-10-03,stratified_mid_delisted
MOTHERSUMI,INE775A01035,delisted,mid,2014-04-01,2022-04-01,stratified_mid_delisted
NIITTECH,INE591G01017,delisted,mid,2018-04-02,2020-01-01,stratified_mid_delisted
PEL,INE140A01024,delisted,mid,2018-07-02,2023-07-03,stratified_mid_delisted
RELCAPITAL,INE013A01015,delisted,mid,2011-07-01,2019-04-01,forced_failure
RELINFRA,INE036A01016,delisted,mid,2011-07-01,2024-10-01,forced_failure
DELTACORP,INE124G01033,active,small,2011-07-01,2022-07-01,stratified_small_active
HAVELLS,INE176B01034,active,small,2011-07-01,2022-07-01,stratified_small_active
MTNL,INE153A01019,active,small,2012-10-01,2012-10-01,forced_failure
NATCOPHARM,INE987B01026,active,small,2015-04-01,2015-04-01,stratified_small_active
SUZLON,INE040H01021,active,small,2011-07-01,2026-04-01,forced_failure
UNITECH,INE694A01020,active,small,2011-07-01,2015-04-01,forced_failure
ABAN,INE421A01028,delisted,small,2011-07-01,2015-01-01,forced_failure
ALOKTEXT,INE270A01011,delisted,small,2011-07-01,2014-07-01,stratified_small_delisted
DENABANK,INE077A01010,delisted,small,2012-07-02,2013-10-01,stratified_small_delisted
GITANJALI,INE346H01014,delisted,small,2011-07-01,2013-04-01,forced_failure
GMRINFRA,INE776C01039,delisted,small,2012-04-02,2024-07-01,forced_failure
GVKPIL,INE251H01024,delisted,small,2012-04-02,2012-07-02,forced_failure
IBREALEST,INE069I01010,delisted,small,2011-07-01,2022-01-03,forced_failure
JETAIRWAYS,INE802G01018,delisted,small,2011-07-01,2019-04-01,forced_failure
PUNJLLOYD,INE701B01021,delisted,small,2011-07-01,2013-04-01,forced_failure
RCOM,INE330H01018,delisted,small,2011-07-01,2018-04-02,forced_failure
SKUMARSYNF,INE772A01016,delisted,small,2011-07-01,2011-07-01,stratified_small_delisted
VIDEOIND,INE703A01011,delisted,small,2011-07-01,2011-07-01,forced_failure
