symbol,isin,fiscal_year,period_end,filing_date,revenue,cogs,gross_profit,net_profit,total_assets,total_equity,total_debt,ocf,source,confidence,verified
TATAMOTORS,INE155A01022,2011,2011-03-31,,,,,,,,,,,,FALSE
TATAMOTORS,INE155A01022,2012,2012-03-31,,,,,,,,,,,,FALSE
TATAMOTORS,INE155A01022,2013,2013-03-31,,,,,,,,,,,,FALSE
TATAMOTORS,INE155A01022,2014,2014-03-31,,,,,,,,,,,,FALSE
TATAMOTORS,INE155A01022,2015,2015-03-31,,,,,,,,,,,,FALSE
TATAMOTORS,INE155A01022,2016,2016-03-31,,,,,,,,,,,,FALSE
TATAMOTORS,INE155A01022,2017,2017-03-31,,,,,,,,,,,,FALSE
TATAMOTORS,INE155A01022,2018,2018-03-31,,,,,,,,,,,,FALSE
TATAMOTORS,INE155A01022,2019,2019-03-31,,,,,,,,,,,,FALSE
TATAMOTORS,INE155A01022,2020,2020-03-31,,,,,,,,,,,,FALSE
TATAMOTORS,INE155A01022,2021,2021-03-31,,,,,,,,,,,,FALSE
TATAMOTORS,INE155A01022,2022,2022-03-31,,,,,,,,,,,,FALSE
TATAMOTORS,INE155A01022,2023,2023-03-31,,,,,,,,,,,,FALSE
TATAMOTORS,INE155A01022,2024,2024-03-31,,,,,,,,,,,,FALSE
TATAMOTORS,INE155A01022,2025,2025-03-31,,,,,,,,,,,,FALSE
DELTACORP,INE124G01033,2011,2011-03-31,,,,,,,,,,,,FALSE
DELTACORP,INE124G01033,2012,2012-03-31,,,,,,,,,,,,FALSE
DELTACORP,INE124G01033,2013,2013-03-31,,,,,,,,,,,,FALSE
DELTACORP,INE124G01033,2014,2014-03-31,,,,,,,,,,,,FALSE
DELTACORP,INE124G01033,2015,2015-03-31,,,,,,,,,,,,FALSE
DELTACORP,INE124G01033,2016,2016-03-31,,,,,,,,,,,,FALSE
DELTACORP,INE124G01033,2017,2017-03-31,,,,,,,,,,,,FALSE
DELTACORP,INE124G01033,2018,2018-03-31,,,,,,,,,,,,FALSE
DELTACORP,INE124G01033,2019,2019-03-31,,,,,,,,,,,,FALSE
DELTACORP,INE124G01033,2020,2020-03-31,,,,,,,,,,,,FALSE
DELTACORP,INE124G01033,2021,2021-03-31,,,,,,,,,,,,FALSE
DELTACORP,INE124G01033,2022,2022-03-31,,,,,,,,,,,,FALSE
DELTACORP,INE124G01033,2023,2023-03-31,,,,,,,,,,,,FALSE
DELTACORP,INE124G01033,2024,2024-03-31,,,,,,,,,,,,FALSE
DELTACORP,INE124G01033,2025,2025-03-31,,,,,,,,,,,,FALSE
HDIL,INE191I01012,2011,2011-03-31,,,,,,,,,,,,FALSE
HDIL,INE191I01012,2012,2012-03-31,,,,,,,,,,,,FALSE
HDIL,INE191I01012,2013,2013-03-31,,,,,,,,,,,,FALSE
HDIL,INE191I01012,2014,2014-03-31,,,,,,,,,,,,FALSE
HDIL,INE191I01012,2015,2015-03-31,,,,,,,,,,,,FALSE
HDIL,INE191I01012,2016,2016-03-31,,,,,,,,,,,,FALSE
HDIL,INE191I01012,2017,2017-03-31,,,,,,,,,,,,FALSE
HDIL,INE191I01012,2018,2018-03-31,,,,,,,,,,,,FALSE
HDIL,INE191I01012,2019,2019-03-31,,,,,,,,,,,,FALSE
HDIL,INE191I01012,2020,2020-03-31,,,,,,,,,,,,FALSE
JPASSOCIAT,INE455F01025,2011,2011-03-31,,,,,,,,,,,,FALSE
JPASSOCIAT,INE455F01025,2012,2012-03-31,,,,,,,,,,,,FALSE
JPASSOCIAT,INE455F01025,2013,2013-03-31,,,,,,,,,,,,FALSE
JPASSOCIAT,INE455F01025,2014,2014-03-31,,,,,,,,,,,,FALSE
JPASSOCIAT,INE455F01025,2015,2015-03-31,,,,,,,,,,,,FALSE
JPASSOCIAT,INE455F01025,2016,2016-03-31,,,,,,,,,,,,FALSE
JPASSOCIAT,INE455F01025,2017,2017-03-31,,,,,,,,,,,,FALSE
JPASSOCIAT,INE455F01025,2018,2018-03-31,,,,,,,,,,,,FALSE
JPASSOCIAT,INE455F01025,2019,2019-03-31,,,,,,,,,,,,FALSE
JPASSOCIAT,INE455F01025,2020,2020-03-31,,,,,,,,,,,,FALSE
JPASSOCIAT,INE455F01025,2021,2021-03-31,,,,,,,,,,,,FALSE
JPASSOCIAT,INE455F01025,2022,2022-03-31,,,,,,,,,,,,FALSE
JPASSOCIAT,INE455F01025,2023,2023-03-31,,,,,,,,,,,,FALSE
JPASSOCIAT,INE455F01025,2024,2024-03-31,,,,,,,,,,,,FALSE
JPASSOCIAT,INE455F01025,2025,2025-03-31,,,,,,,,,,,,FALSE
RELINFRA,INE036A01016,2011,2011-03-31,,,,,,,,,,,,FALSE
RELINFRA,INE036A01016,2012,2012-03-31,,,,,,,,,,,,FALSE
RELINFRA,INE036A01016,2013,2013-03-31,,,,,,,,,,,,FALSE
RELINFRA,INE036A01016,2014,2014-03-31,,,,,,,,,,,,FALSE
RELINFRA,INE036A01016,2015,2015-03-31,,,,,,,,,,,,FALSE
RELINFRA,INE036A01016,2016,2016-03-31,,,,,,,,,,,,FALSE
RELINFRA,INE036A01016,2017,2017-03-31,,,,,,,,,,,,FALSE
RELINFRA,INE036A01016,2018,2018-03-31,,,,,,,,,,,,FALSE
RELINFRA,INE036A01016,2019,2019-03-31,,,,,,,,,,,,FALSE
