2026-05-30 20:02:25 | rebalancer           | INFO    | Rebalance on 2012-01-03: 15 buys (₹67,034), 0 sells (₹0), 0 holds, turnover=100.0%
2026-05-30 20:02:26 | rebalancer           | INFO    | Rebalance on 2012-02-01: 14 buys (₹45,673), 6 sells (₹29,869), 1 holds, turnover=85.5%
2026-05-30 20:02:27 | rebalancer           | INFO    | Rebalance on 2012-03-01: 11 buys (₹50,821), 8 sells (₹26,730), 0 holds, turnover=115.9%
2026-05-30 20:02:29 | rebalancer           | INFO    | Rebalance on 2012-04-02: 10 buys (₹31,884), 4 sells (₹9,894), 3 holds, turnover=70.0%
2026-05-30 20:02:30 | rebalancer           | INFO    | Rebalance on 2012-05-02: 11 buys (₹44,588), 3 sells (₹4,266), 2 holds, turnover=153.3%
2026-05-30 20:02:31 | rebalancer           | INFO    | Rebalance on 2012-06-01: 14 buys (₹29,378), 4 sells (₹20,705), 0 holds, turnover=141.9%
2026-05-30 20:02:33 | rebalancer           | INFO    | Rebalance on 2012-07-02: 15 buys (₹53,668), 6 sells (₹11,932), 0 holds, turnover=208.8%
2026-05-30 20:02:34 | rebalancer           | INFO    | Rebalance on 2012-08-01: 9 buys (₹35,405), 4 sells (₹3,264), 2 holds, turnover=104.2%
2026-05-30 20:02:36 | rebalancer           | INFO    | Rebalance on 2012-09-03: 12 buys (₹43,344), 2 sells (₹4,953), 2 holds, turnover=140.0%
2026-05-30 20:02:38 | rebalancer           | INFO    | Rebalance on 2012-10-01: 14 buys (₹88,027), 4 sells (₹18,055), 1 holds, turnover=212.4%
2026-05-30 20:02:40 | rebalancer           | INFO    | Rebalance on 2012-11-01: 10 buys (₹62,264), 5 sells (₹16,607), 1 holds, turnover=113.4%
2026-05-30 20:02:42 | rebalancer           | INFO    | Rebalance on 2012-12-03: 13 buys (₹83,747), 3 sells (₹18,306), 1 holds, turnover=214.9%
2026-05-30 20:02:44 | rebalancer           | INFO    | Rebalance on 2013-01-01: 8 buys (₹36,798), 8 sells (₹24,660), 0 holds, turnover=67.6%
2026-05-30 20:02:46 | rebalancer           | INFO    | Rebalance on 2013-02-01: 15 buys (₹99,857), 0 sells (₹0), 0 holds, turnover=952.7%
2026-05-30 20:02:49 | rebalancer           | INFO    | Rebalance on 2013-03-01: 12 buys (₹79,671), 3 sells (₹11,334), 1 holds, turnover=298.8%
2026-05-30 20:02:51 | rebalancer           | INFO    | Rebalance on 2013-04-01: 12 buys (₹65,936), 3 sells (₹2,863), 0 holds, turnover=217.8%
2026-05-30 20:02:54 | rebalancer           | INFO    | Rebalance on 2013-05-02: 11 buys (₹65,774), 5 sells (₹16,537), 1 holds, turnover=142.4%
2026-05-30 20:02:56 | rebalancer           | INFO    | Rebalance on 2013-06-03: 14 buys (₹79,870), 3 sells (₹13,841), 0 holds, turnover=257.1%
2026-05-30 20:02:59 | rebalancer           | INFO    | Rebalance on 2013-07-01: 12 buys (₹72,052), 2 sells (₹850), 1 holds, turnover=280.6%
2026-05-30 20:03:02 | rebalancer           | INFO    | Rebalance on 2013-08-01: 13 buys (₹25,840), 4 sells (₹24,053), 0 holds, turnover=96.7%
2026-05-30 20:03:05 | rebalancer           | INFO    | Rebalance on 2013-09-02: 13 buys (₹22,841), 2 sells (₹651), 0 holds, turnover=581.1%
2026-05-30 20:03:08 | rebalancer           | INFO    | Rebalance on 2013-10-01: 6 buys (₹6,585), 5 sells (₹4,879), 5 holds, turnover=26.3%
2026-05-30 20:03:11 | rebalancer           | INFO    | Rebalance on 2013-11-01: 15 buys (₹110,776), 3 sells (₹5,571), 0 holds, turnover=1988.5%
2026-05-30 20:03:14 | rebalancer           | INFO    | Rebalance on 2013-12-02: 8 buys (₹34,523), 10 sells (₹42,208), 0 holds, turnover=57.3%
2026-05-30 20:03:18 | rebalancer           | INFO    | Rebalance on 2014-01-01: 12 buys (₹49,271), 5 sells (₹14,458), 1 holds, turnover=158.7%
2026-05-30 20:03:21 | rebalancer           | INFO    | Rebalance on 2014-02-03: 15 buys (₹74,537), 1 sells (₹4,472), 0 holds, turnover=304.6%
2026-05-30 20:03:25 | rebalancer           | INFO    | Rebalance on 2014-03-03: 8 buys (₹37,664), 9 sells (₹23,634), 1 holds, turnover=62.8%
2026-05-30 20:03:29 | rebalancer           | INFO    | Rebalance on 2014-04-01: 15 buys (₹76,280), 2 sells (₹11,021), 0 holds, turnover=262.4%
2026-05-30 20:03:32 | rebalancer           | INFO    | Rebalance on 2014-05-02: 14 buys (₹85,208), 3 sells (₹19,535), 1 holds, turnover=199.7%
2026-05-30 20:03:36 | rebalancer           | INFO    | Rebalance on 2014-06-02: 14 buys (₹97,541), 1 sells (₹3,645), 0 holds, turnover=696.6%
2026-05-30 20:03:41 | rebalancer           | INFO    | Rebalance on 2014-07-01: 11 buys (₹63,850), 4 sells (₹19,104), 2 holds, turnover=96.5%
2026-05-30 20:03:45 | rebalancer           | INFO    | Rebalance on 2014-08-01: 14 buys (₹112,938), 1 sells (₹5,763), 1 holds, turnover=570.3%
2026-05-30 20:03:50 | rebalancer           | INFO    | Rebalance on 2014-09-01: 10 buys (₹77,959), 9 sells (₹41,978), 0 holds, turnover=91.1%
2026-05-30 20:03:54 | rebalancer           | INFO    | Rebalance on 2014-10-01: 13 buys (₹92,375), 0 sells (₹0), 2 holds, turnover=437.8%
2026-05-30 20:03:58 | rebalancer           | INFO    | Rebalance on 2014-11-03: 9 buys (₹57,652), 5 sells (₹10,407), 2 holds, turnover=96.8%
2026-05-30 20:04:03 | rebalancer           | INFO    | Rebalance on 2014-12-01: 14 buys (₹104,590), 2 sells (₹11,805), 1 holds, turnover=218.4%
2026-05-30 20:04:07 | rebalancer           | INFO    | Rebalance on 2015-01-01: 12 buys (₹53,533), 3 sells (₹15,837), 0 holds, turnover=196.4%
2026-05-30 20:04:12 | rebalancer           | INFO    | Rebalance on 2015-02-02: 13 buys (₹69,268), 2 sells (₹5,858), 0 holds, turnover=188.4%
2026-05-30 20:04:17 | rebalancer           | INFO    | Rebalance on 2015-03-02: 14 buys (₹89,881), 0 sells (₹0), 0 holds, turnover=876.5%
2026-05-30 20:04:22 | rebalancer           | INFO    | Rebalance on 2015-04-01: 9 buys (₹36,869), 6 sells (₹17,784), 0 holds, turnover=88.5%
2026-05-30 20:04:27 | rebalancer           | INFO    | Rebalance on 2015-05-04: 13 buys (₹39,017), 1 sells (₹1,431), 0 holds, turnover=1060.6%
2026-05-30 20:04:32 | rebalancer           | INFO    | Rebalance on 2015-06-01: 7 buys (₹15,184), 7 sells (₹7,799), 0 holds, turnover=73.6%
2026-05-30 20:04:38 | rebalancer           | INFO    | Rebalance on 2015-07-01: 7 buys (₹14,766), 4 sells (₹5,903), 3 holds, turnover=94.6%
2026-05-30 20:04:44 | rebalancer           | INFO    | Rebalance on 2015-08-03: 9 buys (₹19,097), 0 sells (₹0), 4 holds, turnover=234.2%
2026-05-30 20:04:49 | rebalancer           | INFO    | Rebalance on 2015-09-01: 10 buys (₹7,531), 1 sells (₹1,589), 0 holds, turnover=315.9%
2026-05-30 20:04:55 | rebalancer           | INFO    | Rebalance on 2015-10-01: 3 buys (₹2,204), 1 sells (₹484), 7 holds, turnover=36.4%
2026-05-30 20:05:01 | rebalancer           | INFO    | Rebalance on 2015-11-02: 11 buys (₹8,695), 0 sells (₹0), 2 holds, turnover=533.6%
2026-05-30 20:05:06 | rebalancer           | INFO    | Rebalance on 2015-12-01: 5 buys (₹3,905), 2 sells (₹2,385), 6 holds, turnover=54.9%
2026-05-30 20:05:12 | rebalancer           | INFO    | Rebalance on 2016-01-01: 11 buys (₹9,532), 1 sells (₹581), 0 holds, turnover=1639.7%
2026-05-30 20:05:18 | rebalancer           | INFO    | Rebalance on 2016-02-01: 11 buys (₹9,634), 0 sells (₹0), 0 holds, turnover=100.0%
2026-05-30 20:05:25 | rebalancer           | INFO    | Rebalance on 2016-03-01: 11 buys (₹8,006), 1 sells (₹274), 0 holds, turnover=731.1%
2026-05-30 20:05:31 | rebalancer           | INFO    | Rebalance on 2016-04-01: 2 buys (₹1,416), 1 sells (₹231), 9 holds, turnover=17.7%
2026-05-30 20:05:37 | rebalancer           | INFO    | Rebalance on 2016-05-02: 11 buys (₹8,577), 0 sells (₹0), 2 holds, turnover=579.7%
2026-05-30 20:05:44 | rebalancer           | INFO    | Rebalance on 2016-06-01: 13 buys (₹34,379), 2 sells (₹1,326), 0 holds, turnover=1114.8%
2026-05-30 20:05:50 | rebalancer           | INFO    | Rebalance on 2016-07-01: 6 buys (₹11,085), 7 sells (₹9,882), 0 holds, turnover=46.2%
2026-05-30 20:05:57 | rebalancer           | INFO    | Rebalance on 2016-08-01: 12 buys (₹30,485), 1 sells (₹218), 0 holds, turnover=250.1%
2026-05-30 20:06:04 | rebalancer           | INFO    | Rebalance on 2016-09-01: 7 buys (₹14,590), 5 sells (₹7,114), 0 holds, turnover=99.7%
2026-05-30 20:06:11 | rebalancer           | INFO    | Rebalance on 2016-10-03: 10 buys (₹17,364), 2 sells (₹3,457), 1 holds, turnover=221.3%
2026-05-30 20:06:18 | rebalancer           | INFO    | Rebalance on 2016-11-01: 10 buys (₹15,189), 2 sells (₹4,557), 2 holds, turnover=128.2%
2026-05-30 20:06:25 | rebalancer           | INFO    | Rebalance on 2016-12-01: 14 buys (₹35,763), 0 sells (₹0), 0 holds, turnover=1353.4%
2026-05-30 20:07:56 | rebalancer           | INFO    | Rebalance on 2012-01-06: 5 buys (₹69,105), 0 sells (₹0), 0 holds, turnover=100.0%
2026-05-30 20:07:57 | rebalancer           | INFO    | Rebalance on 2012-01-13: 5 buys (₹29,567), 4 sells (₹57,344), 0 holds, turnover=100.0%
2026-05-30 20:07:57 | rebalancer           | INFO    | Rebalance on 2012-01-20: 2 buys (₹8,878), 3 sells (₹11,066), 1 holds, turnover=34.4%
2026-05-30 20:07:58 | rebalancer           | INFO    | Rebalance on 2012-01-27: 4 buys (₹8,792), 2 sells (₹8,963), 0 holds, turnover=29.5%
2026-05-30 20:07:59 | rebalancer           | INFO    | Rebalance on 2012-02-03: 5 buys (₹69,901), 4 sells (₹24,420), 0 holds, turnover=286.2%
2026-05-30 20:08:00 | rebalancer           | INFO    | Rebalance on 2012-02-10: 5 buys (₹71,821), 5 sells (₹71,963), 0 holds, turnover=100.0%
2026-05-30 20:08:01 | rebalancer           | INFO    | Rebalance on 2012-02-17: 5 buys (₹68,169), 4 sells (₹55,411), 0 holds, turnover=123.0%
2026-05-30 20:08:02 | rebalancer           | INFO    | Rebalance on 2012-02-24: 5 buys (₹39,415), 3 sells (₹37,568), 0 holds, turnover=58.3%
2026-05-30 20:08:04 | rebalancer           | INFO    | Rebalance on 2012-03-02: 5 buys (₹67,587), 5 sells (₹69,251), 0 holds, turnover=100.0%
2026-05-30 20:08:05 | rebalancer           | INFO    | Rebalance on 2012-03-09: 4 buys (₹40,789), 3 sells (₹43,325), 1 holds, turnover=63.1%
2026-05-30 20:08:06 | rebalancer           | INFO    | Rebalance on 2012-03-16: 5 buys (₹47,235), 1 sells (₹15,846), 0 holds, turnover=68.8%
2026-05-30 20:08:07 | rebalancer           | INFO    | Rebalance on 2012-03-23: 2 buys (₹25,590), 5 sells (₹56,092), 0 holds, turnover=56.0%
2026-05-30 20:08:08 | rebalancer           | INFO    | Rebalance on 2012-03-30: 2 buys (₹29,252), 5 sells (₹31,483), 0 holds, turnover=43.3%
2026-05-30 20:08:09 | rebalancer           | INFO    | Rebalance on 2012-04-04: 5 buys (₹14,991), 1 sells (₹14,303), 0 holds, turnover=20.9%
2026-05-30 20:08:10 | rebalancer           | INFO    | Rebalance on 2012-04-13: 4 buys (₹56,444), 4 sells (₹41,797), 0 holds, turnover=99.2%
2026-05-30 20:08:12 | rebalancer           | INFO    | Rebalance on 2012-04-20: 4 buys (₹30,941), 2 sells (₹30,604), 1 holds, turnover=43.5%
2026-05-30 20:08:13 | rebalancer           | INFO    | Rebalance on 2012-04-27: 4 buys (₹42,222), 4 sells (₹42,143), 0 holds, turnover=60.0%
2026-05-30 20:08:14 | rebalancer           | INFO    | Rebalance on 2012-05-04: 4 buys (₹22,160), 4 sells (₹48,342), 0 holds, turnover=88.4%
2026-05-30 20:08:15 | rebalancer           | INFO    | Rebalance on 2012-05-11: 4 buys (₹24,103), 3 sells (₹17,453), 1 holds, turnover=110.2%
2026-05-30 20:08:17 | rebalancer           | INFO    | Rebalance on 2012-05-18: 4 buys (₹15,945), 2 sells (₹12,665), 1 holds, turnover=66.8%
2026-05-30 20:08:18 | rebalancer           | INFO    | Rebalance on 2012-05-25: 4 buys (₹18,284), 3 sells (₹17,621), 1 holds, turnover=68.1%
2026-05-30 20:08:19 | rebalancer           | INFO    | Rebalance on 2012-06-01: 5 buys (₹26,349), 4 sells (₹22,389), 0 holds, turnover=117.7%
2026-05-30 20:08:21 | rebalancer           | INFO    | Rebalance on 2012-06-08: 5 buys (₹17,449), 3 sells (₹16,080), 0 holds, turnover=63.9%
2026-05-30 20:08:22 | rebalancer           | INFO    | Rebalance on 2012-06-15: 5 buys (₹61,788), 3 sells (₹16,080), 0 holds, turnover=287.8%
2026-05-30 20:08:24 | rebalancer           | INFO    | Rebalance on 2012-06-22: 3 buys (₹14,455), 1 sells (₹14,591), 2 holds, turnover=21.6%
2026-05-30 20:08:25 | rebalancer           | INFO    | Rebalance on 2012-06-29: 4 buys (₹37,900), 3 sells (₹26,213), 0 holds, turnover=68.8%
