2026-05-30 20:02:25 | regime               | WARNING | Insufficient data for regime detection on 2012-01-03
2026-05-30 20:02:26 | regime               | INFO    | Regime on 2012-02-01: NEUTRAL (close=5236, SMA50=4862, SMA200=5224, ADX=24.7) → capital=70%
2026-05-30 20:02:27 | regime               | INFO    | Regime on 2012-03-01: NEUTRAL (close=5340, SMA50=5088, SMA200=5185, ADX=33.8) → capital=70%
2026-05-30 20:02:29 | regime               | INFO    | Regime on 2012-04-02: NEUTRAL (close=5318, SMA50=5312, SMA200=5165, ADX=14.3) → capital=70%
2026-05-30 20:02:30 | regime               | INFO    | Regime on 2012-05-02: NEUTRAL (close=5239, SMA50=5310, SMA200=5146, ADX=13.0) → capital=70%
2026-05-30 20:02:31 | regime               | INFO    | Regime on 2012-06-01: BEAR (close=4842, SMA50=5126, SMA200=5078, ADX=25.0) → capital=30%
2026-05-30 20:02:33 | regime               | INFO    | Regime on 2012-07-02: NEUTRAL (close=5279, SMA50=5055, SMA200=5083, ADX=23.4) → capital=70%
2026-05-30 20:02:34 | regime               | INFO    | Regime on 2012-08-01: NEUTRAL (close=5240, SMA50=5128, SMA200=5107, ADX=19.6) → capital=70%
2026-05-30 20:02:36 | regime               | INFO    | Regime on 2012-09-03: NEUTRAL (close=5254, SMA50=5257, SMA200=5128, ADX=17.8) → capital=70%
2026-05-30 20:02:38 | regime               | INFO    | Regime on 2012-10-01: BULL (close=5719, SMA50=5365, SMA200=5181, ADX=36.7) → capital=100%
2026-05-30 20:02:40 | regime               | INFO    | Regime on 2012-11-01: BULL (close=5645, SMA50=5547, SMA200=5276, ADX=37.8) → capital=100%
2026-05-30 20:02:42 | regime               | INFO    | Regime on 2012-12-03: BULL (close=5871, SMA50=5680, SMA200=5339, ADX=25.5) → capital=100%
2026-05-30 20:02:44 | regime               | INFO    | Regime on 2013-01-01: NEUTRAL (close=5905, SMA50=5763, SMA200=5383, ADX=17.8) → capital=70%
2026-05-30 20:02:46 | regime               | INFO    | Regime on 2013-02-01: BULL (close=5999, SMA50=5927, SMA200=5468, ADX=24.1) → capital=100%
2026-05-30 20:02:49 | regime               | INFO    | Regime on 2013-03-01: BULL (close=5720, SMA50=5948, SMA200=5534, ADX=26.9) → capital=100%
2026-05-30 20:02:51 | regime               | INFO    | Regime on 2013-04-01: BULL (close=5704, SMA50=5880, SMA200=5617, ADX=24.8) → capital=100%
2026-05-30 20:02:54 | regime               | INFO    | Regime on 2013-05-02: BULL (close=5999, SMA50=5767, SMA200=5676, ADX=27.5) → capital=100%
2026-05-30 20:02:56 | regime               | INFO    | Regime on 2013-06-03: BULL (close=5939, SMA50=5860, SMA200=5768, ADX=28.3) → capital=100%
2026-05-30 20:02:59 | regime               | INFO    | Regime on 2013-07-01: BULL (close=5899, SMA50=5920, SMA200=5813, ADX=21.6) → capital=100%
2026-05-30 20:03:02 | regime               | INFO    | Regime on 2013-08-01: BEAR (close=5728, SMA50=5873, SMA200=5851, ADX=16.6) → capital=30%
2026-05-30 20:03:05 | regime               | INFO    | Regime on 2013-09-02: BEAR (close=5551, SMA50=5713, SMA200=5832, ADX=24.1) → capital=30%
2026-05-30 20:03:08 | regime               | INFO    | Regime on 2013-10-01: BEAR (close=5780, SMA50=5704, SMA200=5838, ADX=18.0) → capital=30%
2026-05-30 20:03:11 | regime               | INFO    | Regime on 2013-11-01: BULL (close=6307, SMA50=5863, SMA200=5858, ADX=21.2) → capital=100%
2026-05-30 20:03:14 | regime               | INFO    | Regime on 2013-12-02: NEUTRAL (close=6218, SMA50=6067, SMA200=5866, ADX=13.3) → capital=70%
2026-05-30 20:03:18 | regime               | INFO    | Regime on 2014-01-01: NEUTRAL (close=6304, SMA50=6188, SMA200=5906, ADX=14.7) → capital=70%
2026-05-30 20:03:21 | regime               | INFO    | Regime on 2014-02-03: BULL (close=6002, SMA50=6210, SMA200=5963, ADX=20.6) → capital=100%
2026-05-30 20:03:25 | regime               | INFO    | Regime on 2014-03-03: NEUTRAL (close=6221, SMA50=6185, SMA200=5985, ADX=19.5) → capital=70%
2026-05-30 20:03:29 | regime               | INFO    | Regime on 2014-04-01: BULL (close=6721, SMA50=6301, SMA200=6034, ADX=40.2) → capital=100%
2026-05-30 20:03:32 | regime               | INFO    | Regime on 2014-05-02: BULL (close=6695, SMA50=6520, SMA200=6124, ADX=28.2) → capital=100%
2026-05-30 20:03:36 | regime               | INFO    | Regime on 2014-06-02: BULL (close=7362, SMA50=6871, SMA200=6251, ADX=48.6) → capital=100%
2026-05-30 20:03:41 | regime               | INFO    | Regime on 2014-07-01: BULL (close=7635, SMA50=7244, SMA200=6467, ADX=42.7) → capital=100%
2026-05-30 20:03:45 | regime               | INFO    | Regime on 2014-08-01: BULL (close=7603, SMA50=7575, SMA200=6669, ADX=29.6) → capital=100%
2026-05-30 20:03:50 | regime               | INFO    | Regime on 2014-09-01: BULL (close=8028, SMA50=7704, SMA200=6826, ADX=28.0) → capital=100%
2026-05-30 20:03:54 | regime               | INFO    | Regime on 2014-10-01: BULL (close=7946, SMA50=7904, SMA200=7038, ADX=21.4) → capital=100%
2026-05-30 20:03:58 | regime               | INFO    | Regime on 2014-11-03: BULL (close=8324, SMA50=7992, SMA200=7184, ADX=22.3) → capital=100%
2026-05-30 20:04:03 | regime               | INFO    | Regime on 2014-12-01: BULL (close=8556, SMA50=8151, SMA200=7381, ADX=31.5) → capital=100%
2026-05-30 20:04:07 | regime               | INFO    | Regime on 2015-01-01: NEUTRAL (close=8283, SMA50=8285, SMA200=7612, ADX=18.5) → capital=70%
2026-05-30 20:04:12 | regime               | INFO    | Regime on 2015-02-02: BULL (close=8797, SMA50=8433, SMA200=7824, ADX=29.1) → capital=100%
2026-05-30 20:04:17 | regime               | INFO    | Regime on 2015-03-02: BULL (close=8957, SMA50=8556, SMA200=8014, ADX=20.1) → capital=100%
2026-05-30 20:04:22 | regime               | INFO    | Regime on 2015-04-01: NEUTRAL (close=8586, SMA50=8716, SMA200=8172, ADX=16.1) → capital=70%
2026-05-30 20:04:27 | regime               | INFO    | Regime on 2015-05-04: BULL (close=8332, SMA50=8630, SMA200=8256, ADX=23.6) → capital=100%
2026-05-30 20:04:32 | regime               | INFO    | Regime on 2015-06-01: NEUTRAL (close=8433, SMA50=8431, SMA200=8321, ADX=14.5) → capital=70%
2026-05-30 20:04:38 | regime               | INFO    | Regime on 2015-07-01: NEUTRAL (close=8453, SMA50=8257, SMA200=8366, ADX=17.4) → capital=70%
2026-05-30 20:04:44 | regime               | INFO    | Regime on 2015-08-03: NEUTRAL (close=8543, SMA50=8346, SMA200=8416, ADX=14.0) → capital=70%
2026-05-30 20:04:49 | regime               | INFO    | Regime on 2015-09-01: BEAR (close=7786, SMA50=8383, SMA200=8441, ADX=30.6) → capital=30%
2026-05-30 20:04:55 | regime               | INFO    | Regime on 2015-10-01: BEAR (close=7951, SMA50=8131, SMA200=8376, ADX=33.9) → capital=30%
2026-05-30 20:05:01 | regime               | INFO    | Regime on 2015-11-02: BEAR (close=8051, SMA50=8007, SMA200=8371, ADX=17.2) → capital=30%
2026-05-30 20:05:06 | regime               | INFO    | Regime on 2015-12-01: BEAR (close=7955, SMA50=8002, SMA200=8303, ADX=21.2) → capital=30%
2026-05-30 20:05:12 | regime               | INFO    | Regime on 2016-01-01: BEAR (close=7946, SMA50=7917, SMA200=8199, ADX=18.6) → capital=30%
2026-05-30 20:05:18 | regime               | INFO    | Regime on 2016-02-01: BEAR (close=7556, SMA50=7697, SMA200=8091, ADX=39.5) → capital=30%
2026-05-30 20:05:25 | regime               | INFO    | Regime on 2016-03-01: BEAR (close=7222, SMA50=7440, SMA200=7965, ADX=36.6) → capital=30%
2026-05-30 20:05:31 | regime               | INFO    | Regime on 2016-04-01: BEAR (close=7713, SMA50=7384, SMA200=7894, ADX=16.0) → capital=30%
2026-05-30 20:05:37 | regime               | INFO    | Regime on 2016-05-02: BEAR (close=7806, SMA50=7541, SMA200=7853, ADX=19.5) → capital=30%
2026-05-30 20:05:44 | regime               | INFO    | Regime on 2016-06-01: BULL (close=8180, SMA50=7809, SMA200=7787, ADX=20.9) → capital=100%
2026-05-30 20:05:50 | regime               | INFO    | Regime on 2016-07-01: NEUTRAL (close=8328, SMA50=8024, SMA200=7785, ADX=16.2) → capital=70%
2026-05-30 20:05:57 | regime               | INFO    | Regime on 2016-08-01: BULL (close=8637, SMA50=8299, SMA200=7851, ADX=29.7) → capital=100%
2026-05-30 20:06:04 | regime               | INFO    | Regime on 2016-09-01: NEUTRAL (close=8775, SMA50=8516, SMA200=7902, ADX=19.3) → capital=70%
2026-05-30 20:06:11 | regime               | INFO    | Regime on 2016-10-03: NEUTRAL (close=8738, SMA50=8692, SMA200=7995, ADX=16.4) → capital=70%
2026-05-30 20:06:18 | regime               | INFO    | Regime on 2016-11-01: NEUTRAL (close=8626, SMA50=8710, SMA200=8074, ADX=15.9) → capital=70%
2026-05-30 20:06:25 | regime               | INFO    | Regime on 2016-12-01: BULL (close=8193, SMA50=8499, SMA200=8153, ADX=40.9) → capital=100%
2026-05-30 20:07:56 | regime               | WARNING | Insufficient data for regime detection on 2012-01-06
2026-05-30 20:07:57 | regime               | INFO    | Regime on 2012-01-13: BEAR (close=4866, SMA50=4897, SMA200=5255, ADX=13.6) → capital=30%
2026-05-30 20:07:57 | regime               | INFO    | Regime on 2012-01-20: BEAR (close=5049, SMA50=4865, SMA200=5244, ADX=16.0) → capital=30%
2026-05-30 20:07:58 | regime               | INFO    | Regime on 2012-01-27: BEAR (close=5205, SMA50=4856, SMA200=5234, ADX=22.6) → capital=30%
2026-05-30 20:07:59 | regime               | INFO    | Regime on 2012-02-03: NEUTRAL (close=5326, SMA50=4877, SMA200=5218, ADX=27.3) → capital=70%
2026-05-30 20:08:00 | regime               | INFO    | Regime on 2012-02-10: NEUTRAL (close=5382, SMA50=4937, SMA200=5206, ADX=35.4) → capital=70%
2026-05-30 20:08:01 | regime               | INFO    | Regime on 2012-02-17: NEUTRAL (close=5564, SMA50=4992, SMA200=5198, ADX=44.0) → capital=70%
2026-05-30 20:08:02 | regime               | INFO    | Regime on 2012-02-24: NEUTRAL (close=5429, SMA50=5040, SMA200=5191, ADX=44.4) → capital=70%
2026-05-30 20:08:04 | regime               | INFO    | Regime on 2012-03-02: NEUTRAL (close=5359, SMA50=5103, SMA200=5185, ADX=31.7) → capital=70%
2026-05-30 20:08:05 | regime               | INFO    | Regime on 2012-03-09: NEUTRAL (close=5334, SMA50=5150, SMA200=5179, ADX=25.8) → capital=70%
2026-05-30 20:08:06 | regime               | INFO    | Regime on 2012-03-16: BULL (close=5318, SMA50=5220, SMA200=5177, ADX=21.0) → capital=100%
2026-05-30 20:08:07 | regime               | INFO    | Regime on 2012-03-23: NEUTRAL (close=5278, SMA50=5271, SMA200=5173, ADX=16.5) → capital=70%
2026-05-30 20:08:08 | regime               | INFO    | Regime on 2012-03-30: NEUTRAL (close=5296, SMA50=5305, SMA200=5166, ADX=15.0) → capital=70%
2026-05-30 20:08:09 | regime               | INFO    | Regime on 2012-04-04: NEUTRAL (close=5323, SMA50=5324, SMA200=5163, ADX=13.5) → capital=70%
2026-05-30 20:08:10 | regime               | INFO    | Regime on 2012-04-13: NEUTRAL (close=5207, SMA50=5336, SMA200=5157, ADX=12.7) → capital=70%
2026-05-30 20:08:12 | regime               | INFO    | Regime on 2012-04-20: NEUTRAL (close=5291, SMA50=5336, SMA200=5155, ADX=10.7) → capital=70%
2026-05-30 20:08:13 | regime               | INFO    | Regime on 2012-04-27: NEUTRAL (close=5191, SMA50=5319, SMA200=5150, ADX=13.2) → capital=70%
2026-05-30 20:08:14 | regime               | INFO    | Regime on 2012-05-04: BEAR (close=5087, SMA50=5293, SMA200=5141, ADX=14.8) → capital=30%
2026-05-30 20:08:15 | regime               | INFO    | Regime on 2012-05-11: BEAR (close=4929, SMA50=5247, SMA200=5124, ADX=23.8) → capital=30%
2026-05-30 20:08:17 | regime               | INFO    | Regime on 2012-05-18: BEAR (close=4891, SMA50=5202, SMA200=5107, ADX=31.0) → capital=30%
2026-05-30 20:08:18 | regime               | INFO    | Regime on 2012-05-25: BEAR (close=4920, SMA50=5170, SMA200=5093, ADX=30.2) → capital=30%
2026-05-30 20:08:19 | regime               | INFO    | Regime on 2012-06-01: BEAR (close=4842, SMA50=5126, SMA200=5078, ADX=25.0) → capital=30%
2026-05-30 20:08:21 | regime               | INFO    | Regime on 2012-06-08: BEAR (close=5068, SMA50=5096, SMA200=5070, ADX=21.5) → capital=30%
2026-05-30 20:08:22 | regime               | INFO    | Regime on 2012-06-15: NEUTRAL (close=5139, SMA50=5081, SMA200=5070, ADX=17.2) → capital=70%
2026-05-30 20:08:24 | regime               | INFO    | Regime on 2012-06-22: NEUTRAL (close=5146, SMA50=5066, SMA200=5074, ADX=17.2) → capital=70%
2026-05-30 20:08:25 | regime               | INFO    | Regime on 2012-06-29: NEUTRAL (close=5279, SMA50=5056, SMA200=5081, ADX=21.6) → capital=70%
2026-05-30 20:08:27 | regime               | INFO    | Regime on 2012-07-06: NEUTRAL (close=5317, SMA50=5061, SMA200=5087, ADX=30.2) → capital=70%
2026-05-30 20:08:28 | regime               | INFO    | Regime on 2012-07-13: NEUTRAL (close=5227, SMA50=5068, SMA200=5094, ADX=31.1) → capital=70%
2026-05-30 20:08:30 | regime               | INFO    | Regime on 2012-07-20: NEUTRAL (close=5205, SMA50=5086, SMA200=5097, ADX=24.3) → capital=70%
2026-05-30 20:08:31 | regime               | INFO    | Regime on 2012-07-27: BEAR (close=5100, SMA50=5106, SMA200=5102, ADX=23.7) → capital=30%
2026-05-30 20:08:33 | regime               | INFO    | Regime on 2012-08-03: NEUTRAL (close=5216, SMA50=5140, SMA200=5111, ADX=17.7) → capital=70%
2026-05-30 20:08:35 | regime               | INFO    | Regime on 2012-08-10: NEUTRAL (close=5320, SMA50=5178, SMA200=5118, ADX=17.2) → capital=70%
2026-05-30 20:08:36 | regime               | INFO    | Regime on 2012-08-17: NEUTRAL (close=5366, SMA50=5212, SMA200=5123, ADX=18.3) → capital=70%
2026-05-30 20:08:38 | regime               | INFO    | Regime on 2012-08-24: BULL (close=5387, SMA50=5237, SMA200=5128, ADX=20.2) → capital=100%
2026-05-30 20:08:40 | regime               | INFO    | Regime on 2012-08-31: NEUTRAL (close=5258, SMA50=5254, SMA200=5129, ADX=18.0) → capital=70%
2026-05-30 20:08:42 | regime               | INFO    | Regime on 2012-09-07: NEUTRAL (close=5342, SMA50=5268, SMA200=5130, ADX=17.5) → capital=70%
2026-05-30 20:08:44 | regime               | INFO    | Regime on 2012-09-14: BULL (close=5578, SMA50=5289, SMA200=5142, ADX=20.9) → capital=100%
2026-05-30 20:08:46 | regime               | INFO    | Regime on 2012-09-21: BULL (close=5691, SMA50=5313, SMA200=5159, ADX=28.6) → capital=100%
2026-05-30 20:08:47 | regime               | INFO    | Regime on 2012-09-28: BULL (close=5703, SMA50=5354, SMA200=5177, ADX=35.4) → capital=100%
2026-05-30 20:08:49 | regime               | INFO    | Regime on 2012-10-05: BULL (close=5747, SMA50=5397, SMA200=5194, ADX=40.1) → capital=100%
2026-05-30 20:08:51 | regime               | INFO    | Regime on 2012-10-12: BULL (close=5676, SMA50=5455, SMA200=5218, ADX=41.3) → capital=100%
2026-05-30 20:08:53 | regime               | INFO    | Regime on 2012-10-19: BULL (close=5684, SMA50=5501, SMA200=5243, ADX=39.7) → capital=100%
2026-05-30 20:08:55 | regime               | INFO    | Regime on 2012-10-25: BULL (close=5705, SMA50=5524, SMA200=5259, ADX=37.8) → capital=100%
2026-05-30 20:08:57 | regime               | INFO    | Regime on 2012-11-02: BULL (close=5698, SMA50=5554, SMA200=5281, ADX=36.6) → capital=100%
2026-05-30 20:08:59 | regime               | INFO    | Regime on 2012-11-09: BULL (close=5686, SMA50=5586, SMA200=5303, ADX=29.1) → capital=100%
2026-05-30 20:09:01 | regime               | INFO    | Regime on 2012-11-16: BULL (close=5574, SMA50=5605, SMA200=5313, ADX=28.1) → capital=100%
2026-05-30 20:09:03 | regime               | INFO    | Regime on 2012-11-23: BULL (close=5627, SMA50=5640, SMA200=5325, ADX=27.0) → capital=100%
2026-05-30 20:09:05 | regime               | INFO    | Regime on 2012-11-30: BULL (close=5880, SMA50=5671, SMA200=5336, ADX=25.0) → capital=100%
2026-05-30 20:09:07 | regime               | INFO    | Regime on 2012-12-07: BULL (close=5907, SMA50=5705, SMA200=5350, ADX=25.9) → capital=100%
2026-05-30 20:09:09 | regime               | INFO    | Regime on 2012-12-14: BULL (close=5880, SMA50=5727, SMA200=5361, ADX=25.3) → capital=100%
2026-05-30 20:09:11 | regime               | INFO    | Regime on 2012-12-21: BULL (close=5848, SMA50=5742, SMA200=5370, ADX=20.9) → capital=100%
2026-05-30 20:09:13 | regime               | INFO    | Regime on 2012-12-28: NEUTRAL (close=5908, SMA50=5758, SMA200=5381, ADX=18.1) → capital=70%
2026-05-30 20:09:16 | regime               | INFO    | Regime on 2013-01-04: BULL (close=6016, SMA50=5783, SMA200=5395, ADX=21.1) → capital=100%
2026-05-30 20:09:18 | regime               | INFO    | Regime on 2013-01-11: BULL (close=5951, SMA50=5811, SMA200=5409, ADX=25.1) → capital=100%
2026-05-30 20:09:20 | regime               | INFO    | Regime on 2013-01-18: BULL (close=6064, SMA50=5850, SMA200=5428, ADX=28.4) → capital=100%
2026-05-30 20:09:22 | regime               | INFO    | Regime on 2013-01-25: BULL (close=6075, SMA50=5883, SMA200=5449, ADX=26.7) → capital=100%
2026-05-30 20:09:25 | regime               | INFO    | Regime on 2013-02-01: BULL (close=5999, SMA50=5927, SMA200=5468, ADX=24.1) → capital=100%
2026-05-30 20:09:27 | regime               | INFO    | Regime on 2013-02-08: BULL (close=5904, SMA50=5957, SMA200=5485, ADX=20.4) → capital=100%
2026-05-30 20:09:29 | regime               | INFO    | Regime on 2013-02-15: BULL (close=5887, SMA50=5960, SMA200=5501, ADX=20.5) → capital=100%
2026-05-30 20:09:32 | regime               | INFO    | Regime on 2013-02-22: NEUTRAL (close=5850, SMA50=5959, SMA200=5518, ADX=19.3) → capital=70%
2026-05-30 20:09:34 | regime               | INFO    | Regime on 2013-03-01: BULL (close=5720, SMA50=5948, SMA200=5534, ADX=26.9) → capital=100%
2026-05-30 20:09:36 | regime               | INFO    | Regime on 2013-03-08: BULL (close=5946, SMA50=5942, SMA200=5556, ADX=25.0) → capital=100%
2026-05-30 20:09:39 | regime               | INFO    | Regime on 2013-03-15: BULL (close=5873, SMA50=5935, SMA200=5582, ADX=20.1) → capital=100%
2026-05-30 20:09:41 | regime               | INFO    | Regime on 2013-03-22: BULL (close=5651, SMA50=5909, SMA200=5601, ADX=24.0) → capital=100%
2026-05-30 20:09:43 | regime               | INFO    | Regime on 2013-03-28: BULL (close=5683, SMA50=5887, SMA200=5613, ADX=25.3) → capital=100%
2026-05-30 20:09:46 | regime               | INFO    | Regime on 2013-04-05: BEAR (close=5553, SMA50=5846, SMA200=5629, ADX=24.3) → capital=30%
2026-05-30 20:09:48 | regime               | INFO    | Regime on 2013-04-12: BEAR (close=5529, SMA50=5795, SMA200=5640, ADX=27.9) → capital=30%
