2026-05-30 20:02:25 | risk_manager         | INFO    | TRAILING STOP: INFY @ 227.26 (stop=235.64)
2026-05-30 20:02:25 | risk_manager         | INFO    | TRAILING STOP: TCS @ 390.69 (stop=402.87)
2026-05-30 20:02:25 | risk_manager         | INFO    | TRAILING STOP: HINDUNILVR @ 297.25 (stop=299.70)
2026-05-30 20:02:25 | risk_manager         | INFO    | TRAILING STOP: COALINDIA @ 106.71 (stop=109.89)
2026-05-30 20:02:26 | risk_manager         | INFO    | TRAILING STOP: CIPLA @ 295.36 (stop=306.80)
2026-05-30 20:02:26 | risk_manager         | INFO    | TRAILING STOP: SBIN @ 187.41 (stop=191.15)
2026-05-30 20:02:26 | risk_manager         | INFO    | TRAILING STOP: TECHM @ 103.46 (stop=107.01)
2026-05-30 20:02:26 | risk_manager         | INFO    | TRAILING STOP: HINDALCO @ 125.23 (stop=130.04)
2026-05-30 20:02:26 | risk_manager         | INFO    | TRAILING STOP: TATASTEEL @ 29.19 (stop=29.67)
2026-05-30 20:02:26 | risk_manager         | INFO    | TRAILING STOP: AXISBANK @ 207.29 (stop=219.55)
2026-05-30 20:02:26 | risk_manager         | INFO    | TRAILING STOP: JSWSTEEL @ 64.89 (stop=67.75)
2026-05-30 20:02:27 | risk_manager         | INFO    | TIME STOP: POWERGRID after 62 days (max=60)
2026-05-30 20:02:27 | risk_manager         | INFO    | TIME STOP: SHREECEM after 62 days (max=60)
2026-05-30 20:02:27 | risk_manager         | INFO    | TRAILING STOP: SUNPHARMA @ 246.77 (stop=249.39)
2026-05-30 20:02:27 | risk_manager         | INFO    | TRAILING STOP: HDFCBANK @ 111.06 (stop=111.11)
2026-05-30 20:02:27 | risk_manager         | INFO    | TRAILING STOP: ASIANPAINT @ 267.34 (stop=271.23)
2026-05-30 20:02:27 | risk_manager         | INFO    | TRAILING STOP: NTPC @ 84.70 (stop=85.16)
2026-05-30 20:02:29 | risk_manager         | INFO    | TRAILING STOP: SHREECEM @ 2794.66 (stop=2800.67)
2026-05-30 20:02:29 | risk_manager         | INFO    | TRAILING STOP: NESTLEIND @ 201.61 (stop=203.14)
2026-05-30 20:02:29 | risk_manager         | INFO    | TIME STOP: BRITANNIA after 60 days (max=60)
2026-05-30 20:02:29 | risk_manager         | INFO    | TIME STOP: HINDUNILVR after 60 days (max=60)
2026-05-30 20:02:29 | risk_manager         | INFO    | TIME STOP: EICHERMOT after 60 days (max=60)
2026-05-30 20:02:29 | risk_manager         | INFO    | TIME STOP: HEROMOTOCO after 60 days (max=60)
2026-05-30 20:02:29 | risk_manager         | INFO    | TIME STOP: ULTRACEMCO after 60 days (max=60)
2026-05-30 20:02:29 | risk_manager         | INFO    | TIME STOP: ITC after 60 days (max=60)
2026-05-30 20:02:30 | risk_manager         | INFO    | TRAILING STOP: HEROMOTOCO @ 1341.60 (stop=1346.00)
2026-05-30 20:02:30 | risk_manager         | INFO    | TRAILING STOP: BPCL @ 26.02 (stop=26.05)
2026-05-30 20:02:30 | risk_manager         | INFO    | TRAILING STOP: HDFCBANK @ 114.73 (stop=115.44)
2026-05-30 20:02:30 | risk_manager         | INFO    | TRAILING STOP: ITC @ 91.90 (stop=93.37)
2026-05-30 20:02:30 | risk_manager         | INFO    | TRAILING STOP: KOTAKBANK @ 52.82 (stop=54.00)
2026-05-30 20:02:30 | risk_manager         | INFO    | TRAILING STOP: MARUTI @ 1102.75 (stop=1105.80)
2026-05-30 20:02:30 | risk_manager         | INFO    | TRAILING STOP: EICHERMOT @ 183.06 (stop=187.49)
2026-05-30 20:02:30 | risk_manager         | INFO    | TRAILING STOP: BRITANNIA @ 217.51 (stop=217.79)
2026-05-30 20:02:30 | risk_manager         | INFO    | TRAILING STOP: BAJAJFINSV @ 66.28 (stop=66.94)
2026-05-30 20:02:30 | risk_manager         | INFO    | TIME STOP: TITAN after 60 days (max=60)
2026-05-30 20:02:30 | risk_manager         | INFO    | TRAILING STOP: ASIANPAINT @ 335.08 (stop=335.35)
2026-05-30 20:02:31 | risk_manager         | INFO    | TRAILING STOP: DRREDDY @ 282.99 (stop=283.11)
2026-05-30 20:02:31 | risk_manager         | INFO    | TRAILING STOP: APOLLOHOSP @ 582.04 (stop=582.97)
