2026-05-30 20:02:24 | strategy.momentum    | WARNING | Insufficient data for momentum on 2012-01-03
2026-05-30 20:02:25 | strategy.momentum    | WARNING | Insufficient data for momentum on 2012-02-01
2026-05-30 20:07:55 | strategy.momentum    | WARNING | Insufficient data for momentum on 2012-01-06
2026-05-30 20:07:56 | strategy.momentum    | WARNING | Insufficient data for momentum on 2012-01-13
2026-05-30 20:07:57 | strategy.momentum    | WARNING | Insufficient data for momentum on 2012-01-20
2026-05-30 20:07:57 | strategy.momentum    | WARNING | Insufficient data for momentum on 2012-01-27
2026-05-30 20:07:58 | strategy.momentum    | WARNING | Insufficient data for momentum on 2012-02-03
2026-05-30 21:35:17 | strategy.momentum    | WARNING | Insufficient data for momentum on 2012-01-06
2026-05-30 21:35:18 | strategy.momentum    | WARNING | Insufficient data for momentum on 2012-01-20
2026-05-30 21:35:19 | strategy.momentum    | WARNING | Insufficient data for momentum on 2012-02-03
2026-05-30 22:14:14 | strategy.momentum    | WARNING | Insufficient data for momentum on 2012-01-03
2026-05-30 22:14:16 | strategy.momentum    | WARNING | Insufficient data for momentum on 2012-02-01
2026-05-30 23:20:30 | strategy.momentum    | WARNING | Insufficient data for momentum on 2012-01-03
2026-05-30 23:20:31 | strategy.momentum    | WARNING | Insufficient data for momentum on 2012-02-01
2026-05-30 23:53:32 | strategy.momentum    | WARNING | Insufficient data for momentum on 2012-01-03
2026-05-30 23:53:33 | strategy.momentum    | WARNING | Insufficient data for momentum on 2012-02-01
2026-05-31 00:27:37 | strategy.momentum    | WARNING | Insufficient data for momentum on 2012-01-03
2026-05-31 00:27:38 | strategy.momentum    | WARNING | Insufficient data for momentum on 2012-02-01
2026-05-31 17:06:47 | strategy.momentum    | WARNING | Insufficient data for momentum on 2012-01-03
2026-05-31 17:06:49 | strategy.momentum    | WARNING | Insufficient data for momentum on 2012-02-01
