type,symbol,date,detail,touches_watch
symbol_change,GEOJITBNPP / GEOJITFSL,,ISIN INE007B01023 maps to 2 symbols,False
symbol_change,INFOSYSTCH / INFY,,ISIN INE009A01021 maps to 2 symbols,False
symbol_change,ACUTAAS / AMIORG,,ISIN INE00FF01025 maps to 2 symbols,False
symbol_change,AFSL / AHL,,ISIN INE00ZE01026 maps to 2 symbols,False
symbol_change,PRISMCEM / PRSMJOHNSN,,ISIN INE010A01011 maps to 2 symbols,False
symbol_change,CADILAHC / ZYDUSLIFE,,ISIN INE010B01027 maps to 2 symbols,False
symbol_change,HCIL / HSCL,,ISIN INE019C01026 maps to 2 symbols,False
symbol_change,HEALTHX / MICROSEC / SASTASUNDR,,ISIN INE019J01013 maps to 3 symbols,False
symbol_change,AFL / INSPIRISYS,,ISIN INE020G01017 maps to 2 symbols,False
symbol_change,PRAKASHCON / SETUINFRA,,ISIN INE023M01027 maps to 2 symbols,False
symbol_change,SORILINFRA / STOREONE,,ISIN INE034H01016 maps to 2 symbols,False
symbol_change,ARVINFRA / ARVSMART,,ISIN INE034S01021 maps to 2 symbols,False
symbol_change,AERONEU / SAH,,ISIN INE035801013 maps to 2 symbols,False
symbol_change,ALIVUS / GLS,,ISIN INE03Q201024 maps to 2 symbols,False
symbol_change,COHANCE / SUVENPHAR,,ISIN INE03QK01018 maps to 2 symbols,False
symbol_change,ADOR / ADORWELD,,ISIN INE045A01017 maps to 2 symbols,False
symbol_change,VAKRANGEE / VAKRANSOFT,,ISIN INE051B01021 maps to 2 symbols,False
symbol_change,ABREL / CENTURYTEX,,ISIN INE055A01016 maps to 2 symbols,False
symbol_change,AVENTIS / SANOFI,,ISIN INE058A01010 maps to 2 symbols,False
symbol_change,HINDWAREAP / SHIL,,ISIN INE05AN01011 maps to 2 symbols,False
symbol_change,NAVNETEDUL / NAVNETPUBL,,ISIN INE060A01024 maps to 2 symbols,False
symbol_change,AEROENTER / SATINDLTD,,ISIN INE065D01027 maps to 2 symbols,False
