rank,symbol,score,in_top10,in_buffer20,classification,current_held
1,TRENT,92.9,True,False,HOLD,True
2,LT,90.8,True,False,HOLD,True
3,TITAN,88.7,True,False,HOLD,True
4,BAJFINANCE,86.6,True,False,HOLD,True
5,SBIN,84.5,True,False,HOLD,True
6,INFY,82.4,True,False,HOLD,True
7,TCS,80.3,True,False,HOLD,True
8,HINDUNILVR,78.2,True,False,HOLD,True
9,ASIANPAINT,76.1,True,False,HOLD,True
10,DIVISLAB,74.5,True,False,BUY,False
11,SUNPHARMA,73.2,False,True,SELL,True
12,RELIANCE,71.6,False,True,HOLD,False
13,ITC,70.1,False,True,HOLD,False
14,MARUTI,68.9,False,True,HOLD,False
15,NESTLEIND,67.4,False,True,HOLD,False
16,CIPLA,66.0,False,True,HOLD,False
17,GRASIM,64.8,False,True,HOLD,False
18,WIPRO,63.5,False,True,HOLD,False
19,TATAMOTORS,62.1,False,True,HOLD,False
20,HCLTECH,60.9,False,True,HOLD,False
