date,symbol,action,quantity,price,costs,notes
2026-04-01,TRENT,BUY,11,4428.9,53.59,Initial paper entry
2026-04-01,LT,BUY,12,3773.19,49.81,Initial paper entry
2026-04-01,TITAN,BUY,12,3999.26,52.79,Initial paper entry
2026-04-01,BAJFINANCE,BUY,55,848.65,51.34,Initial paper entry
2026-04-01,SBIN,BUY,51,864.13,48.48,Initial paper entry
2026-04-01,INFY,BUY,43,1119.56,52.96,Initial paper entry
2026-04-01,TCS,BUY,22,2192.68,53.06,Initial paper entry
2026-04-01,HINDUNILVR,BUY,23,2259.78,57.17,Initial paper entry
2026-04-01,ASIANPAINT,BUY,18,2703.18,53.52,Initial paper entry
2026-04-01,SUNPHARMA,BUY,27,1746.83,51.88,Initial paper entry
