variant,N,cagr,max_dd,sharpe,calmar,alpha,vol,beta,roll3y_min
A. Pure Momentum,3,0.02992809393358109,-0.7190905782765113,-0.09544322859818322,0.04161936595708373,-0.022790397190294076,0.3674635338885268,0.04804160834712092,-0.21592123233795923
A. Pure Momentum,5,0.13907529406243735,-0.6120387371641989,0.23505790588090006,0.22723282958661156,0.08570706146069608,0.31513636516429305,0.0455000130169898,-0.15298632672058243
A. Pure Momentum,10,0.18069052260410046,-0.5626430650361323,0.4096713280341324,0.3211459161813302,0.12762606373884128,0.2823983878961173,0.046688285485903126,-0.08528184349486134
B. 52-Week High,3,0.23359929835868365,-0.4774567495207188,0.5613526166505951,0.4892575057179013,0.17862794862583192,0.3003447269287881,0.03922909580932583,-0.07873060116996289
B. 52-Week High,5,0.19414132893416736,-0.43773929986602816,0.5062720917906275,0.44350902236464734,0.13898405436258632,0.255082851747583,0.03850181316235403,0.015762282381052595
B. 52-Week High,10,0.1779480152316255,-0.42317145139853224,0.5042510384635281,0.4205104447465161,0.12341460976084728,0.22399163634007052,0.040942203451767446,-0.03254143716528857
C. Mom + LowVol,3,0.10278493198536487,-0.4238488154545319,0.1916071603871055,0.24250376133560542,0.045446632547403214,0.19719999977572686,0.029970292851386374,-0.08717995577486681
C. Mom + LowVol,5,0.13666221145292146,-0.3664307780311947,0.4130683021028153,0.3729550563061251,0.07876463646413859,0.17348755905042618,0.027782573309620185,-0.029861010353201656
C. Mom + LowVol,10,0.1737438554819648,-0.3346356867808842,0.6916668752214834,0.5192030089598016,0.11628897612252886,0.15721998461635622,0.029514266887060953,0.023609784438471282
D. 52WH + LowVol,3,0.032564587327415406,-0.39123678395047184,-0.18461550313006017,0.0832349836807213,-0.02600376787743039,0.17569170585708668,0.02515868069576244,-0.08244281803846809
D. 52WH + LowVol,5,0.06907586865006543,-0.3327012503635552,0.026506131933723965,0.20762130762834113,0.010216738293090132,0.15377078255917334,0.024021254821093563,-0.00674748983903195
D. 52WH + LowVol,10,0.0910378926614821,-0.28909255578615434,0.1887898941644629,0.3149091556989937,0.03225599486970866,0.13791994945873207,0.024323365635529743,-0.038821208520097295
