variant,N,cagr,max_dd,sharpe,calmar,alpha,vol,beta,roll3y_min
A. Momentum,3,0.02992809393358109,-0.7190905782765113,-0.09544322859818322,0.04161936595708373,-0.1214429342065573,0.3674635338885268,1.1574474523150586,-0.21592123233795923
A. Momentum,5,0.13907529406243735,-0.6120387371641989,0.23505790588090006,0.22723282958661156,-0.008360672828601645,0.31513636516429305,1.1047141838157666,-0.15298632672058243
A. Momentum,10,0.18069052260410046,-0.5626430650361323,0.4096713280341324,0.3211459161813302,0.030535683165629462,0.2823983878961173,1.1411494581312298,-0.08528184349486134
B. Frog-in-the-Pan,3,0.10985382050569492,-0.7383846139424594,0.1406485389810278,0.14877587971281261,-0.03784593428817917,0.31890712005010796,1.1082491728353794,-0.27788581050557337
B. Frog-in-the-Pan,5,0.13589775411466087,-0.710139363911865,0.2564199751308129,0.19136772445067143,-0.010524016047460338,0.27649076121504307,1.0911230590449985,-0.24868529012084495
B. Frog-in-the-Pan,10,0.1441398019382416,-0.562539295895428,0.33238116335095963,0.2562306366683336,0.00034934784265372443,0.23809953951776228,1.0558611182874666,-0.12026297001893627
C. Mom + LowVol,3,0.10278493198536487,-0.4238488154545319,0.1916071603871055,0.24250376133560542,-0.014537659485948998,0.19719999977572686,0.7011685689179619,-0.08717995577486681
C. Mom + LowVol,5,0.13666221145292146,-0.3664307780311947,0.4130683021028153,0.3729550563061251,0.020015643873634165,0.17348755905042618,0.6921092564566037,-0.029861010353201656
C. Mom + LowVol,10,0.1737438554819648,-0.3346356867808842,0.6916668752214834,0.5192030089598016,0.05363671957428828,0.15721998461635622,0.7384839040844801,0.023609784438471282
D. FIP + LowVol,3,0.11094285020846018,-0.3414658429734318,0.2387598602993478,0.32490175076484074,-0.006898894922662782,0.19242283921115896,0.7081256828234617,-0.010901980764480457
D. FIP + LowVol,5,0.11011311588673744,-0.32834068554701534,0.275244923314752,0.3353623864897799,-0.006571204558383864,0.1639017183076218,0.6926151779365042,0.029858715882669307
D. FIP + LowVol,10,0.1525394471114192,-0.29380843634943776,0.5873805493015587,0.5191799425731878,0.034615924625660016,0.14903361579730626,0.7092215710260102,0.04640699528612746
