variant,N,cagr,max_dd,sharpe,calmar,alpha,vol,beta,roll3y_min
A. Momentum,3,0.02992809393358109,-0.7190905782765113,-0.09544322859818322,0.04161936595708373,-0.1214429342065573,0.3674635338885268,1.1574474523150586,-0.21592123233795923
A. Momentum,5,0.13907529406243735,-0.6120387371641989,0.23505790588090006,0.22723282958661156,-0.008360672828601645,0.31513636516429305,1.1047141838157666,-0.15298632672058243
A. Momentum,10,0.18069052260410046,-0.5626430650361323,0.4096713280341324,0.3211459161813302,0.030535683165629462,0.2823983878961173,1.1411494581312298,-0.08528184349486134
B. Low-MAX,3,0.0568847435140174,-0.38210566110904026,-0.04680871157279404,0.148871763241907,-0.04837698139809363,0.17337064433748092,0.5395423897203359,-0.09483170402524754
B. Low-MAX,5,0.08187939781887743,-0.3326222020165978,0.10373847408310811,0.24616335687294758,-0.030840918225499808,0.16271106711435546,0.6394940458462087,-0.08812847200621055
B. Low-MAX,10,0.10727973448140404,-0.382137744669044,0.28542554081337507,0.2807357712709464,-0.008677466547005866,0.14812877068015634,0.6828711406762795,-0.06275832302577222
C. Mom + LowVol,3,0.10278493198536487,-0.4238488154545319,0.1916071603871055,0.24250376133560542,-0.014537659485948998,0.19719999977572686,0.7011685689179619,-0.08717995577486681
C. Mom + LowVol,5,0.13666221145292146,-0.3664307780311947,0.4130683021028153,0.3729550563061251,0.020015643873634165,0.17348755905042618,0.6921092564566037,-0.029861010353201656
C. Mom + LowVol,10,0.1737438554819648,-0.3346356867808842,0.6916668752214834,0.5192030089598016,0.05363671957428828,0.15721998461635622,0.7384839040844801,0.023609784438471282
D. Low-MAX + LowVol,3,0.06697390107381884,-0.4385974883362215,0.013345680825051838,0.15270014729878656,-0.03305343486266363,0.14790561078858808,0.4693969912605972,-0.13124807853121845
D. Low-MAX + LowVol,5,0.09138559667314161,-0.3300213579321088,0.19715042214476505,0.2769081287519011,-0.01251445467361098,0.13383484745351953,0.5212947708943598,0.001724516393054376
D. Low-MAX + LowVol,10,0.11840403477294204,-0.2595427559753204,0.44807469973205694,0.4562024254077079,0.012407775104588209,0.11918556170405734,0.5493857990273391,0.041391113448286276
