base,leverage,cagr,max_dd,sharpe
PlainMom+LowVol,1.0,0.17788541253364576,-0.3346356867808842,0.707317906933893
PlainMom+LowVol,1.25,0.1921226355546377,-0.4040164206313085,0.6627943050706748
PlainMom+LowVol,1.5,0.20461707834537446,-0.4676133657510704,0.6331119038285292
PlainMom+LowVol,1.75,0.21529566168213665,-0.5257864974018369,0.6119101886555678
PlainMom+LowVol,2.0,0.22409106897937958,-0.5886601566955394,0.5960089022758471
SmartMom+LowVol,1.0,0.16617292058617705,-0.27238067525570886,0.6916407945656112
SmartMom+LowVol,1.25,0.17813351885783746,-0.3555883025408002,0.642768386233294
SmartMom+LowVol,1.5,0.18866734557537512,-0.430487048604668,0.6101867806784159
SmartMom+LowVol,1.75,0.19772723782454893,-0.4977490182901364,0.5869142052820739
SmartMom+LowVol,2.0,0.20527056451524062,-0.558011624425552,0.5694597737348177
