config,filter,cagr,cagr_pct_of_base,max_dd,pct_underwater,pct_dd_worse_10,pct_dd_worse_20,ulcer_index,recovery_days,peak_value,peak_date,trough_date,final_value,days_in_cash,pct_in_cash,forced_exits,re_entries,total_costs
5 stocks / monthly,Baseline (no filter),0.18958542592903793,100.0,-0.5615464209617955,90.48691246833663,32.929918378834785,10.470025330706445,11.276549040085952,,8739573.264790915,2024-06-03,2026-05-28,6091857.204985178,0,0.0,0,0,656217.4680113452
5 stocks / monthly,NIFTY > 200 DMA,0.13068486055781303,68.93191283950726,-0.3760539631197747,92.96369265409513,53.41964537010977,24.7115113988179,16.016430057512093,480.0,2014931.500080771,2018-01-08,2019-10-14,2931886.353654251,793,22.319166901210245,68,69,670394.3928200132
5 stocks / monthly,NIFTY > 10-month SMA,0.13490768041002377,71.15930971430255,-0.3040373855177165,92.68224036025894,49.95778215592457,21.756262313537857,14.222142692681913,439.0,1918403.6303111739,2018-01-08,2019-10-11,3093583.900924109,812,22.853926259499016,76,77,732147.4493089705
5 stocks / monthly,NIFTY > 12-month SMA,0.15766740047593242,83.16430427249588,-0.27450173909246556,92.17562623135379,40.81058260624824,13.819307627357164,11.906670465933649,433.0,2219212.288466291,2018-01-08,2019-10-10,4117621.409463231,761,21.41851956093442,55,57,690102.0668703886
5 stocks / quarterly,Baseline (no filter),0.21441411853347114,100.0,-0.6808903417998111,88.60118209963412,33.07064452575288,8.950182943990994,11.180494593798835,,11270784.527827034,2024-09-26,2026-05-28,8202465.781086534,0,0.0,0,0,368600.18438568676
5 stocks / quarterly,NIFTY > 200 DMA,0.14618891474934181,68.18063835965214,-0.38048701129605594,91.07796228539262,46.298902336054034,28.370391218688436,16.485506582584613,487.0,2108120.4804726313,2018-01-08,2019-10-14,3567173.5115457787,793,22.319166901210245,68,69,569529.0026973472
5 stocks / quarterly,NIFTY > 10-month SMA,0.15396132549483932,71.80559123060041,-0.3086007839656522,90.82465522094006,43.42808893892485,23.923444976076556,14.56786316662988,602.0,2082469.6320802642,2018-01-08,2019-05-14,3931806.7895548414,812,22.853926259499016,75,77,658215.2612273631
5 stocks / quarterly,NIFTY > 12-month SMA,0.1829696023941314,85.33468021862977,-0.23984825519175296,90.48691246833663,38.952997466929354,9.316070925978046,11.320204161011711,,7265124.917429037,2024-09-26,2026-02-02,5621724.344021614,761,21.41851956093442,55,57,615028.5532428729
10 stocks / monthly,Baseline (no filter),0.1984895911337896,100.0,-0.5968961526538832,87.30650154798761,26.54095130875317,5.572755417956656,9.833401234113147,,8635325.529245486,2024-09-27,2026-05-28,6782496.184617137,0,0.0,0,0,535621.2510375024
10 stocks / monthly,NIFTY > 200 DMA,0.13791747901710405,69.48348184371159,-0.2442697431606265,91.16239797354349,46.721080776808336,6.220095693779904,11.714715288063013,,4002309.241251101,2024-09-27,2025-08-12,3213856.7812101142,793,22.319166901210245,68,69,637809.2086361168
10 stocks / monthly,NIFTY > 10-month SMA,0.12842380706856416,64.70052476555387,-0.24914223489650753,91.58457641429779,47.31213059386434,7.120743034055728,11.662535252652633,,3673742.0468072407,2024-09-27,2025-08-12,2848575.4506608574,812,22.853926259499016,76,77,648707.186753123
10 stocks / monthly,NIFTY > 12-month SMA,0.16375401837140702,82.50005324512483,-0.21932467367698988,90.23360540388404,30.65015479876161,0.9569377990430622,8.759387053995983,261.0,3469951.967603804,2022-01-17,2023-03-14,4440617.020380026,761,21.41851956093442,55,57,637708.9185151978
10 stocks / quarterly,Baseline (no filter),0.19585861470182975,100.0,-0.6527396111976302,87.33464677737123,23.219814241486066,4.0529130312412045,8.864448513480763,,8142006.869547578,2024-09-27,2026-05-28,6571200.512227317,0,0.0,0,0,254177.35944435862
10 stocks / quarterly,NIFTY > 200 DMA,0.1228338129739881,62.71555282926269,-0.26223216489611234,91.6127216436814,49.31044188010132,14.382212215029552,12.700463095027711,449.0,1436167.184751274,2018-01-10,2019-10-14,2651966.6279587825,793,22.319166901210245,68,69,450006.22438382223
10 stocks / quarterly,NIFTY > 10-month SMA,0.1209233978012747,61.740147598493664,-0.23907119409917887,91.55643118491416,48.97269912749789,9.65381367858148,12.358411197425317,451.0,1419891.5962330017,2018-01-10,2019-10-11,2587722.8156738924,812,22.853926259499016,75,77,488606.92839997535
10 stocks / quarterly,NIFTY > 12-month SMA,0.16085597046459132,82.12861645604633,-0.20864308567086853,90.1773149451168,31.494511680270193,0.5066141289051506,8.934871926079834,216.0,3329912.9501722506,2021-10-18,2023-03-14,4283995.762463051,761,21.41851956093442,55,57,475125.92246012186
