variant,symbol,pnl,n_trades
C. Mom+LowVol (champion),TRENT,517417.2296104195,5
C. Mom+LowVol (champion),NTPC,405361.9720380399,10
C. Mom+LowVol (champion),ZYDUSLIFE,310362.4601856254,8
C. Mom+LowVol (champion),MINDTREE,210262.4203588996,9
C. Mom+LowVol (champion),PERSISTENT,194632.6035412207,9
C. Mom+LowVol (champion),LT,194469.88623414622,4
C. Mom+LowVol (champion),TVSMOTOR,183545.17461727257,14
C. Mom+LowVol (champion),BHARTIARTL,179209.7138438925,9
C. Mom+LowVol (champion),ITC,170726.37859956088,7
C. Mom+LowVol (champion),BAJAJ-AUTO,156922.71238290524,4
C. Mom+LowVol (champion),SBC,142812.69014862733,1
C. Mom+LowVol (champion),HAL,141360.11613630937,4
C. Mom+LowVol (champion),LUPIN,135372.50964825923,13
C. Mom+LowVol (champion),SCHAEFFLER,131047.39071306928,5
C. Mom+LowVol (champion),KAJARIACER,124217.62925010666,17
C. Mom+LowVol (champion),JKCEMENT,122588.62217694073,10
C. Mom+LowVol (champion),TATACHEM,117306.21709289882,3
C. Mom+LowVol (champion),TATAELXSI,116778.30584539998,2
C. Mom+LowVol (champion),EICHERMOT,105327.44789079059,8
C. Mom+LowVol (champion),HINDUNILVR,99718.89454651318,15
C. Mom+LowVol (champion),TATAMOTORS,99401.9172834374,4
C. Mom+LowVol (champion),BLUESTARCO,92730.37430003067,3
C. Mom+LowVol (champion),SIEMENS,84325.93240844514,6
C. Mom+LowVol (champion),SUPREMEIND,83179.91096270453,9
C. Mom+LowVol (champion),SUNDARMFIN,80989.27488481542,10
C. Mom+LowVol (champion),VAKRANGEE,78900.85053539924,5
C. Mom+LowVol (champion),EXIDEIND,78751.04119769832,3
C. Mom+LowVol (champion),IGL,70788.03558520855,8
C. Mom+LowVol (champion),KIMS,70742.6514232574,4
C. Mom+LowVol (champion),HCLTECH,69842.46426612049,8
C. Mom+LowVol (champion),M&M,69374.29583299227,9
C. Mom+LowVol (champion),DIVISLAB,68372.94789524055,15
C. Mom+LowVol (champion),CUMMINSIND,66989.97183685387,4
C. Mom+LowVol (champion),MUTHOOTFIN,66032.60344339386,2
C. Mom+LowVol (champion),COROMANDEL,65607.73196528254,6
C. Mom+LowVol (champion),CHOICEIN,64979.46782656933,5
C. Mom+LowVol (champion),BAJAJHLDNG,64902.384454404564,5
C. Mom+LowVol (champion),ABBOTINDIA,63178.71883996011,12
C. Mom+LowVol (champion),SOLARINDS,62566.57009072415,2
C. Mom+LowVol (champion),RELAXO,61972.08592007727,5
C. Mom+LowVol (champion),PETRONET,61594.75966693177,5
C. Mom+LowVol (champion),NESTLEIND,61062.43875163329,10
C. Mom+LowVol (champion),INFY,56657.89583996034,9
C. Mom+LowVol (champion),TORNTPHARM,54848.444775620126,9
C. Mom+LowVol (champion),BIRLACORPN,53797.49619576461,3
C. Mom+LowVol (champion),VENUSPIPES,48978.073539537894,2
C. Mom+LowVol (champion),ATUL,48554.84543456391,6
C. Mom+LowVol (champion),GLENMARK,45859.55552370263,3
C. Mom+LowVol (champion),AIAENG,41674.69722290036,4
C. Mom+LowVol (champion),ANANDRATHI,41417.04650883738,2
C. Mom+LowVol (champion),GSKCONS,37519.453005148665,4
C. Mom+LowVol (champion),TCS,36753.241312932194,9
C. Mom+LowVol (champion),ALKEM,36527.52420331933,4
C. Mom+LowVol (champion),DRREDDY,36342.80180680876,8
C. Mom+LowVol (champion),BHARATFORG,35875.80621234131,4
C. Mom+LowVol (champion),BRITANNIA,34019.9142750344,17
C. Mom+LowVol (champion),TUBEINVEST,33972.13667600486,3
C. Mom+LowVol (champion),CERA,29031.110843307164,2
C. Mom+LowVol (champion),SKFINDIA,26088.989132785646,4
C. Mom+LowVol (champion),SWARAJENG,26079.13888380386,2
C. Mom+LowVol (champion),GRASIM,25964.964724543068,8
C. Mom+LowVol (champion),SANOFI,24583.714395095536,12
C. Mom+LowVol (champion),KANSAINER,24227.470772983917,6
C. Mom+LowVol (champion),OFSS,23508.440762347724,2
C. Mom+LowVol (champion),ULTRACEMCO,23140.84500999201,7
C. Mom+LowVol (champion),CHOLAFIN,22921.626446152368,2
C. Mom+LowVol (champion),CESC,21327.385816453283,3
C. Mom+LowVol (champion),FAGBEARING,21223.82415907297,5
C. Mom+LowVol (champion),HONAUT,21165.34992442734,2
C. Mom+LowVol (champion),RAMCOCEM,21052.053983400554,3
C. Mom+LowVol (champion),THEBYKE,21030.846357134345,6
C. Mom+LowVol (champion),GODREJCP,20661.38166674369,5
C. Mom+LowVol (champion),CUB,19412.954360009142,2
C. Mom+LowVol (champion),BIOCON,18013.440020591715,8
C. Mom+LowVol (champion),DALBHARAT,17744.6900323654,6
C. Mom+LowVol (champion),POWERGRID,17677.192995441943,3
C. Mom+LowVol (champion),TECHM,17028.31779037418,2
C. Mom+LowVol (champion),HDFCBANK,15464.14111902906,17
C. Mom+LowVol (champion),INDUSINDBK,14064.269006599088,8
C. Mom+LowVol (champion),AARTIIND,13826.733132507987,3
C. Mom+LowVol (champion),JAGRAN,12904.454497219673,2
C. Mom+LowVol (champion),AUROPHARMA,12481.43743229906,2
C. Mom+LowVol (champion),TITAN,12076.859302537516,4
C. Mom+LowVol (champion),PGHH,10731.804652199382,7
C. Mom+LowVol (champion),SYNGENE,10476.377578186015,4
C. Mom+LowVol (champion),IOC,8505.78754771866,3
C. Mom+LowVol (champion),JSWSTEEL,4878.917822345868,5
C. Mom+LowVol (champion),DABUR,4738.11778773794,6
C. Mom+LowVol (champion),SBICARD,4467.627969480308,3
C. Mom+LowVol (champion),MGL,4416.856816972985,2
