date,universe,gp,roe,both
2012-01-03,361,0,0,0
2012-04-02,457,0,0,0
2012-07-02,400,0,0,0
2012-10-01,489,0,0,0
2013-01-01,500,0,0,0
2013-04-01,398,0,0,0
2013-07-01,374,0,0,0
2013-10-01,348,0,0,0
2014-01-01,465,0,0,0
2014-04-01,497,0,0,0
2014-07-01,500,0,0,0
2014-10-01,500,0,0,0
2015-01-01,500,0,0,0
2015-04-01,500,0,0,0
2015-07-01,500,0,0,0
2015-10-01,500,0,0,0
2016-01-01,500,0,0,0
2016-04-01,500,0,0,0
2016-07-01,500,0,0,0
2016-10-03,500,0,0,0
2017-01-02,500,0,0,0
2017-04-03,500,0,0,0
2017-07-03,500,0,0,0
2017-10-03,500,0,0,0
2018-01-01,500,0,0,0
2018-04-02,500,0,0,0
2018-07-02,500,0,0,0
2018-10-01,500,0,0,0
2019-01-01,500,0,0,0
2019-04-01,500,0,0,0
2019-07-01,500,0,0,0
2019-10-01,500,0,0,0
2020-01-01,500,0,0,0
2020-04-01,324,0,0,0
2020-07-01,500,0,0,0
2020-10-01,500,0,0,0
2021-01-01,500,0,0,0
2021-04-01,500,0,0,0
2021-07-01,500,0,0,0
2021-10-01,500,0,0,0
2022-01-03,500,0,0,0
2022-04-01,500,0,0,0
2022-07-01,500,0,0,0
2022-10-03,500,0,0,0
2023-01-02,500,0,0,0
2023-04-03,500,0,0,0
2023-07-03,500,0,0,0
2023-10-03,500,0,0,0
2024-01-01,500,0,0,0
2024-04-01,500,0,0,0
2024-07-01,500,0,0,0
2024-10-01,500,0,0,0
2025-01-01,500,0,0,0
2025-04-01,500,0,0,0
2025-07-01,500,0,0,0
2025-10-01,500,0,0,0
2026-01-01,500,0,0,0
2026-04-01,500,0,0,0
