year,Top3,Top5,Top7,Top10
2012,0.226243681300353,0.28559418433140116,0.2855294519427676,0.28024992508624447
2013,0.042394627902226034,0.08274569325726366,0.1556192112934336,0.12104805025752374
2014,0.8481046799100012,0.6207985695283449,0.414204412715254,0.3580819693335484
2015,0.00865601945344685,0.21077068462820625,0.15135013150387744,0.2127781774075399
2016,0.11449861103487002,0.22193008730455266,0.2698560398518979,0.15887539888561686
2017,0.8132217127457477,0.6392529742663322,0.6626310890947666,0.7166668696437635
2018,0.2293764163491101,0.16387819072221377,0.16342584026670437,0.09036288955866656
2019,0.1708559625836652,0.0968282798020541,0.14076551236911783,0.12087156893163775
2020,0.6601802068524389,0.533196440977308,0.4429129748467573,0.2692128509065781
2021,0.5390905988421137,0.6707244837402895,0.4830634537138334,0.4768797648553551
2022,0.3308751555499023,0.1525341053088971,0.07295699761352736,0.003919623341066547
2023,0.29590915751165414,0.3536242217869092,0.35906642528470334,0.31206679455565767
2024,0.05532814466688718,-0.027481507858086895,0.0002570680753855026,0.024348931571941845
2025,0.35851936271282936,0.23286965119656822,0.1974657872249892,0.12645813815819174
2026,-0.2090232908169699,-0.17161574056989548,-0.14358116983673974,-0.14848830629742749
