symbol,target_weight,price,shares,value,actual_weight,sleeves
SBC,0.1,42.17,1185,49971.0,0.0999,champion+smalltail
TORNTPHARM,0.05,4822.7,5,24114.0,0.0482,champion
FEDERALBNK,0.05,330.3,75,24772.0,0.0495,champion
CUMMINSIND,0.05,5578.5,4,22314.0,0.0446,champion
ANANDRATHI,0.05,2095.5,11,23050.0,0.0461,champion
HINDALCO,0.05,980.4,25,24510.0,0.049,champion
LAURUSLABS,0.05,1529.2,16,24467.0,0.0489,champion
JSWSTEEL,0.05,1243.2,20,24864.0,0.0497,champion
BAJAJ-AUTO,0.05,10036.5,2,20073.0,0.0401,champion
SBIN,0.05,1037.7,24,24905.0,0.0498,champion
STARHEALTH,0.05,581.35,43,24998.0,0.05,smalltail
JBCHEPHARM,0.05,2390.0,10,23900.0,0.0478,smalltail
AIAENG,0.05,4813.0,5,24065.0,0.0481,smalltail
ANURAS,0.05,1269.2,19,24115.0,0.0482,smalltail
ALKEM,0.05,5598.5,4,22394.0,0.0448,smalltail
AJANTPHARM,0.05,3373.5,7,23614.0,0.0472,smalltail
SHYAMMETL,0.05,958.5,26,24921.0,0.0498,smalltail
STYLAMIND,0.05,3262.3,7,22836.0,0.0457,smalltail
CEIGALL,0.05,358.35,69,24726.0,0.0495,smalltail
