symbol,target_weight,price,shares,value,actual_weight,sleeves
SBC,0.07,42.17,829,34959.0,0.0699,champion
TORNTPHARM,0.07,4822.7,7,33759.0,0.0675,champion
FEDERALBNK,0.07,330.3,105,34681.0,0.0694,champion
CUMMINSIND,0.07,5578.5,6,33471.0,0.0669,champion
ANANDRATHI,0.07,2095.5,16,33528.0,0.0671,champion
HINDALCO,0.07,980.4,35,34314.0,0.0686,champion
LAURUSLABS,0.07,1529.2,22,33642.0,0.0673,champion
JSWSTEEL,0.07,1243.2,28,34810.0,0.0696,champion
BAJAJ-AUTO,0.07,10036.5,3,30110.0,0.0602,champion
SBIN,0.07,1037.7,33,34244.0,0.0685,champion
CUPID,0.03,213.09,70,14916.0,0.0298,breakout
RAMCOSYS,0.03,879.55,17,14952.0,0.0299,breakout
DELHIVERY,0.03,519.65,28,14550.0,0.0291,breakout
WELCORP,0.03,1543.6,9,13892.0,0.0278,breakout
PHOENIXLTD,0.03,2105.8,7,14741.0,0.0295,breakout
NACLIND,0.03,223.62,67,14983.0,0.03,breakout
CGCL,0.03,242.38,61,14785.0,0.0296,breakout
PAISALO,0.03,72.04,208,14984.0,0.03,breakout
IPCALAB,0.03,1782.4,8,14259.0,0.0285,breakout
ABDL,0.03,702.7,21,14757.0,0.0295,breakout
